id;area;name;lat;long
ILONDON637;London;Mirabelle Gardens;51.54705;-0.005542
ILONDON630;London;Bisson Road;51.53257;-0.007394
ILONDON469;London;High Street;51.531029;-0.012038
ILONDON939;London;Aldworth Road;51.539597;0.005061
ILONDON578;London;Fairfield Road;51.53175;-0.021563
ILONDON300;London;Three Mill Lane;51.527767;-0.0087
ILONDON745;London;Coopersale Road;51.550301;-0.041949
IENGLAND499;London;London Borough of Newham, Upton Park;51.534779;0.027867
ILONDON465;London;Chatsworth Road;51.554943;-0.046267
ILONDON849;London;Dod Street;51.514191;-0.025849
ILONDON1391;London;Rhodeswell Road;51.515823;-0.033768
ILONDON107;London;Poplar;51.511398;-0.0129
ILONDON556;London;Cornwall Avenue;51.526466;-0.052806
IHACKNEY4;Hackney;Tower Hamlets;51.531075;-0.056249
ILONDON316;London;Silvertown Way;51.51273;0.010835
ILONDON899;London;Clarendon Road;51.569351;0.00141
ILONDON1256;London;Poplar;51.509567;-0.020741
ILONDON1111;London;Poplar;51.50779;-0.009031
ILONDON87;London;Storehouse Mews;51.50824;-0.02586
ILONDON672;London;Durham Road;51.551361;0.042166
ILONDON518;London;Clarence Road;51.549648;0.043582
ILONDON1120;London;Forest Drive East;51.574043;0.002931
ILONDON126;London;Boardwalk Place;51.504688;-0.011114
ILONDON1113;London;Canary Wharf;51.502979;-0.007559
ILONDON143;London;Western Gateway;51.507912;0.02192
ILONDON38;London;Up at The O2;51.502918;0.00315
ILONDONL22;London;Wanstead, London;51.564285;0.039868
ILONDON1141;London;High Street South;51.528736;0.055472
