id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5257573,Beautiful House on the River,27213123,James,Wandsworth,51.46597201,-0.181425375,Entire home/apt,340,1,1,02/09/15,1,1,239
7704078,Kensington 2 Bedroom Hyde Park Lux,40469612,Jamie,Kensington and Chelsea,51.50399561,-0.195045676,Entire home/apt,268,1,7,02/09/15,7,1,336
6074850,Large luxury flat in Bedford Square,23962128,Alastair,Camden,51.51705641,-0.131226993,Entire home/apt,260,1,7,02/09/15,2.39,2,352
1973392,2 Bedroom London Victoria- Sleeps 6,10032879,Sanjay,Westminster,51.48930577,-0.14302606,Entire home/apt,240,2,2,02/09/15,0.13,8,331
7367500,Exceptional Notting Hill Apartment,9774262,Fred,Kensington and Chelsea,51.51261069,-0.205654999,Entire home/apt,200,4,2,02/09/15,2,1,145
3210331,Beautiful Decorated 3 Bedroom House,11639432,Amelia,Hammersmith and Fulham,51.47876625,-0.20990953,Entire home/apt,200,2,29,02/09/15,2.18,1,288
7455214,*Newly-Renovated DESIGNER 3 Beds*,39035728,NA,Kensington and Chelsea,51.49671943,-0.193134764,Entire home/apt,199,1,1,02/09/15,1,7,359
6299047,Exquisite 2 Bed Flat in Battersea,14875410,William,Wandsworth,51.48068775,-0.166106163,Entire home/apt,180,3,2,02/09/15,0.87,3,334
7009693,Your Central London aptmt sleeps 4,16774103,Mark,Islington,51.526535,-0.097972584,Entire home/apt,175,2,12,02/09/15,5.63,15,343
5840624,Gdn Flat in Holland Park * Sleeps 6,6464650,Chantal,Kensington and Chelsea,51.50637584,-0.215432448,Entire home/apt,175,2,22,02/09/15,4.46,1,74
3733837,2Bed top floor flat  - very central,14198413,Alec,Westminster,51.48917079,-0.138825726,Entire home/apt,175,2,22,02/09/15,1.73,2,163
6969699,"2 bedroom flat in Earls Court, GK",1432477,FG Properties,Kensington and Chelsea,51.49147375,-0.198502078,Entire home/apt,159,1,2,02/09/15,2,61,5
2150508,Two bed two bath loft apartment,1408248,Brooke,Islington,51.52341693,-0.090759847,Entire home/apt,149,2,6,02/09/15,0.45,3,260
7067657,Central London 2 bedroom Apartment,9722879,Carlos&Francesco,Camden,51.52247181,-0.108637753,Entire home/apt,149,7,3,02/09/15,2.09,9,333
7427839,Cozy and central,3734287,Jean,Westminster,51.52196202,-0.159755529,Entire home/apt,149,1,1,02/09/15,1,1,317
5999965,Huge five bedroom central flat,5861471,Patrick,Tower Hamlets,51.5184624,-0.049806988,Entire home/apt,145,3,16,02/09/15,3.66,2,298
963396,Luxury garden apt Clapham Common ,5409925,Jason,Wandsworth,51.46148301,-0.150300218,Entire home/apt,140,3,6,02/09/15,0.21,1,233
6089939,Notting Hill:Luxurious flat&garden,3254047,E-L,Kensington and Chelsea,51.52048811,-0.206852728,Entire home/apt,139,2,3,02/09/15,0.67,2,321
743817,Piccadilly Circus in Central London,2071259,Jonathan,Westminster,51.5099214,-0.13093752,Entire home/apt,135,1,145,02/09/15,4.54,3,296
