id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,name,host name
5257573,27213123,Wandsworth,51.46597201,-0.181425375,Entire home/apt,340,1,1,02/09/2015,1,1,239,Beautiful House on the River,James
7704078,40469612,Kensington and Chelsea,51.50399561,-0.195045676,Entire home/apt,268,1,7,02/09/2015,7,1,336,Kensington 2 Bedroom Hyde Park Lux,Jamie
6074850,23962128,Camden,51.51705641,-0.131226993,Entire home/apt,260,1,7,02/09/2015,2.39,2,352,Large luxury flat in Bedford Square,Alastair
1973392,10032879,Westminster,51.48930577,-0.14302606,Entire home/apt,240,2,2,02/09/2015,0.13,8,331,2 Bedroom London Victoria Sleeps 6,Sanjay
7367500,9774262,Kensington and Chelsea,51.51261069,-0.205654999,Entire home/apt,200,4,2,02/09/2015,2,1,145,Exceptional Notting Hill Apartment,Fred
3210331,11639432,Hammersmith and Fulham,51.47876625,-0.20990953,Entire home/apt,200,2,29,02/09/2015,2.18,1,288,Beautiful Decorated 3 Bedroom House,Amelia
7455214,39035728,Kensington and Chelsea,51.49671943,-0.193134764,Entire home/apt,199,1,1,02/09/2015,1,7,359, Newly Renovated DESIGNER 3 Beds ,NA
6299047,14875410,Wandsworth,51.48068775,-0.166106163,Entire home/apt,180,3,2,02/09/2015,0.87,3,334,Exquisite 2 Bed Flat in Battersea,William
7009693,16774103,Islington,51.526535,-0.097972584,Entire home/apt,175,2,12,02/09/2015,5.63,15,343,Your Central London aptmt sleeps 4,Mark
5840624,6464650,Kensington and Chelsea,51.50637584,-0.215432448,Entire home/apt,175,2,22,02/09/2015,4.46,1,74,Gdn Flat in Holland Park Sleeps 6,Chantal
3733837,14198413,Westminster,51.48917079,-0.138825726,Entire home/apt,175,2,22,02/09/2015,1.73,2,163,2Bed top floor flat very central,Alec
6969699,1432477,Kensington and Chelsea,51.49147375,-0.198502078,Entire home/apt,159,1,2,02/09/2015,2,61,5,2 bedroom flat in Earls Court GK,FG Properties
2150508,1408248,Islington,51.52341693,-0.090759847,Entire home/apt,149,2,6,02/09/2015,0.45,3,260,Two bed two bath loft apartment,Brooke
7067657,9722879,Camden,51.52247181,-0.108637753,Entire home/apt,149,7,3,02/09/2015,2.09,9,333,Central London 2 bedroom Apartment,Carlos Francesco
7427839,3734287,Westminster,51.52196202,-0.159755529,Entire home/apt,149,1,1,02/09/2015,1,1,317,Cozy and central,Jean
5999965,5861471,Tower Hamlets,51.5184624,-0.049806988,Entire home/apt,145,3,16,02/09/2015,3.66,2,298,Huge five bedroom central flat,Patrick
963396,5409925,Wandsworth,51.46148301,-0.150300218,Entire home/apt,140,3,6,02/09/2015,0.21,1,233,Luxury garden apt Clapham Common ,Jason
6089939,3254047,Kensington and Chelsea,51.52048811,-0.206852728,Entire home/apt,139,2,3,02/09/2015,0.67,2,321,Notting Hill Luxurious flat garden,E L
743817,2071259,Westminster,51.5099214,-0.13093752,Entire home/apt,135,1,145,02/09/2015,4.54,3,296,Piccadilly Circus in Central London,Jonathan
6665603,21029247,Westminster,51.51822364,-0.135360485,Entire home/apt,130,1,5,02/09/2015,1.92,4,157,Stunning Executive Oxford Street,Jessica
7689277,5919722,Kensington and Chelsea,51.51554376,-0.208204807,Entire home/apt,129,1,4,02/09/2015,4,6,278,Beautiful Bright Modern Apt 6ppl,Sergio
1408825,7597867,Kensington and Chelsea,51.49526027,-0.183211907,Entire home/apt,129,1,47,02/09/2015,1.83,9,341,Victorian Studio Kensington 4ppl,GeonCa
5168904,3327423,Westminster,51.52408549,-0.193770482,Entire home/apt,125,3,25,02/09/2015,3.95,10,268,Slick Duplex 2 Bed nr Notting Hill,Tom Jo
1383888,7282883,Tower Hamlets,51.52648203,-0.069377356,Entire home/apt,120,2,40,02/09/2015,1.56,2,155,SUPER TRENDY FLAT ON BRICK LANE,Rachel
6383592,33275289,Westminster,51.51605312,-0.172959456,Entire home/apt,120,1,24,02/09/2015,7.42,3,48,Paddington Great 1 Bed Apartment,Fabiana
7997030,40724931,Kensington and Chelsea,51.50586683,-0.197553218,Entire home/apt,120,1,2,02/09/2015,2,1,336,Great 1bed flat inNotting hill gate,Matin
4630459,23977491,Kensington and Chelsea,51.4951233,-0.186000692,Entire home/apt,120,1,44,02/09/2015,4.75,39,317,Large Modern Studio Near Museums U1,Nabil
