stationNaptan,stationName,stopType,lat,lon,line
9300BFR1,Blackfriars Pier,NaptanFerryBerth,51.510754,-0.106743,RB1
9300BFR2,Blackfriars Pier,NaptanFerryBerth,51.510667,-0.106891,RB1
9300CAW1,Canary Wharf Pier,NaptanFerryBerth,51.505306,-0.028809,RB1
9300EMB1,Embankment Pier,NaptanFerryBerth,51.507291,-0.121182,RB1
9300GLP0,Greenland Pier,NaptanFerryBerth,51.494736,-0.031815,RB1
9300GNW1,Greenwich Pier,NaptanFerryBerth,51.484034,-0.009403,RB1
9300GNW2,Greenwich Pier,NaptanRailAccessArea,51.484192,-0.008828,RB1
9300LBR1,London Bridge Pier,NaptanFerryBerth,51.506916,-0.084681,RB1
9300LBR2,London Bridge Pier,NaptanFerryBerth,51.506917,-0.084768,RB1
9300MHT1,Masthouse Terrace Pier,NaptanFerryBerth,51.487482,-0.022347,RB1
9300MHT2,Masthouse Terrace Pier,NaptanFerryBerth,51.487483,-0.022433,RB1
9300MIL1,North Greenwich Pier,NaptanFerryBerth,51.502225,0.00917,RB1
9300MIL2,North Greenwich Pier,NaptanRailAccessArea,51.502212,0.009176,RB1
9300SWK1,Bankside Pier,NaptanFerryBerth,51.508747,-0.096624,RB1
9300SWK3,Bankside Pier,NaptanFerryBerth,51.508373,-0.096322,RB1
9300TMP1,Tower Pier,NaptanFerryBerth,51.507344,-0.078957,RB1
9300WAS1,Woolwich Pier,NaptanFerryBerth,51.495764,0.070866,RB1
9300WMP1,London Eye Pier,NaptanFerryBerth,51.503322,-0.120438,RB1
9300WMR2,Westminster Pier,NaptanFerryBerth,51.501822,-0.123396,RB1
930GBFR,Blackfriars Pier,NaptanFerryPort,51.510862,-0.105644,RB1
930GCAW,Canary Wharf Pier,NaptanFerryPort,51.505697,-0.028475,RB1
930GEMB,Embankment Pier,NaptanFerryPort,51.507393,-0.121423,RB1
930GGLP,Greenland Pier for Surrey Quays,NaptanFerryPort,51.494689,-0.032754,RB1
930GGNW,Greenwich Pier,NaptanFerryPort,51.483625,-0.009652,RB1
930GLBR,London Bridge City Pier,NaptanFerryPort,51.506602,-0.084752,RB1
930GMHT,Masthouse Terrace Pier,NaptanFerryPort,51.487501,-0.021928,RB1
930GMIL,North Greenwich Pier,NaptanFerryPort,51.502097,0.008776,RB1
930GSWK,Bankside Pier,NaptanFerryPort,51.508392,-0.096379,RB1
930GTMP,Tower Pier,NaptanFerryPort,51.507813,-0.079081,RB1
930GWAS,Woolwich Arsenal Pier,NaptanFerryPort,51.495167,0.07058,RB1
930GWMP,London Eye Pier,NaptanFerryPort,51.503611,-0.119432,RB1
930GWMR,Westminster Pier,NaptanFerryPort,51.501567,-0.123738,RB1
