stationNaptan,stationName,stopType,lat,lon,line
9300BFR1,Blackfriars Pier,NaptanFerryBerth,51.510754,-0.106743,RB1
9300BFR2,Blackfriars Pier,NaptanFerryBerth,51.510667,-0.106891,RB1
9300CAW1,Canary Wharf Pier,NaptanFerryBerth,51.505306,-0.028809,RB1
9300EMB1,Embankment Pier,NaptanFerryBerth,51.507291,-0.121182,RB1
9300GLP0,Greenland Pier,NaptanFerryBerth,51.494736,-0.031815,RB1
9300GNW1,Greenwich Pier,NaptanFerryBerth,51.484034,-0.009403,RB1
9300GNW2,Greenwich Pier,NaptanRailAccessArea,51.484192,-0.008828,RB1
9300LBR1,London Bridge Pier,NaptanFerryBerth,51.506916,-0.084681,RB1
9300LBR2,London Bridge Pier,NaptanFerryBerth,51.506917,-0.084768,RB1
9300MHT1,Masthouse Terrace Pier,NaptanFerryBerth,51.487482,-0.022347,RB1
9300MHT2,Masthouse Terrace Pier,NaptanFerryBerth,51.487483,-0.022433,RB1
9300MIL1,North Greenwich Pier,NaptanFerryBerth,51.502225,0.00917,RB1
9300MIL2,North Greenwich Pier,NaptanRailAccessArea,51.502212,0.009176,RB1
9300SWK1,Bankside Pier,NaptanFerryBerth,51.508747,-0.096624,RB1
9300SWK3,Bankside Pier,NaptanFerryBerth,51.508373,-0.096322,RB1
9300TMP1,Tower Pier,NaptanFerryBerth,51.507344,-0.078957,RB1
9300WAS1,Woolwich Pier,NaptanFerryBerth,51.495764,0.070866,RB1
9300WMP1,London Eye Pier,NaptanFerryBerth,51.503322,-0.120438,RB1
9300WMR2,Westminster Pier,NaptanFerryBerth,51.501822,-0.123396,RB1
930GBFR,Blackfriars Pier,NaptanFerryPort,51.510862,-0.105644,RB1
930GCAW,Canary Wharf Pier,NaptanFerryPort,51.505697,-0.028475,RB1
930GEMB,Embankment Pier,NaptanFerryPort,51.507393,-0.121423,RB1
930GGLP,Greenland Pier for Surrey Quays,NaptanFerryPort,51.494689,-0.032754,RB1
930GGNW,Greenwich Pier,NaptanFerryPort,51.483625,-0.009652,RB1
930GLBR,London Bridge City Pier,NaptanFerryPort,51.506602,-0.084752,RB1
930GMHT,Masthouse Terrace Pier,NaptanFerryPort,51.487501,-0.021928,RB1
930GMIL,North Greenwich Pier,NaptanFerryPort,51.502097,0.008776,RB1
930GSWK,Bankside Pier,NaptanFerryPort,51.508392,-0.096379,RB1
930GTMP,Tower Pier,NaptanFerryPort,51.507813,-0.079081,RB1
930GWAS,Woolwich Arsenal Pier,NaptanFerryPort,51.495167,0.07058,RB1
930GWMP,London Eye Pier,NaptanFerryPort,51.503611,-0.119432,RB1
930GWMR,Westminster Pier,NaptanFerryPort,51.501567,-0.123738,RB1
9300MBK1,Millbank Pier,NaptanFerryBerth,51.492201,-0.125116,RB2
9300MBK2,Millbank Pier,NaptanRailAccessArea,51.491474,-0.12492,RB2
9300SGW1,Vauxhall St George Pier,NaptanFerryBerth,51.486464,-0.126878,RB2
9300SGW2,Vauxhall St George Pier,NaptanFerryBerth,51.486466,-0.126979,RB2
9300SWK1,Bankside Pier,NaptanFerryBerth,51.508747,-0.096624,RB2
9300SWK3,Bankside Pier,NaptanFerryBerth,51.508373,-0.096322,RB2
930GMBK,Millbank Pier,NaptanFerryPort,51.492122,-0.125235,RB2
930GSGW,St. George Wharf Pier,NaptanFerryPort,51.486143,-0.126694,RB2
930GSWK,Bankside Pier,NaptanFerryPort,51.508392,-0.096379,RB2
930GWMR,Westminster Pier,NaptanFerryPort,51.501567,-0.123738,RB2
9300CAW3,Canary Wharf Pier,NaptanFerryBerth,51.50506,-0.028589,RB4
9300NEL1,Hilton Docklands / Nelson Dock Pier,NaptanFerryBerth,51.504556,-0.031781,RB4
930GCAW,Canary Wharf Pier,NaptanFerryPort,51.505697,-0.028475,RB4
930GNEL,Doubletree Docklands Nelson Dock Pier,NaptanFerryPort,51.504539,-0.032891,RB4
9300MIL1,North Greenwich Pier,NaptanFerryBerth,51.502225,0.00917,RB5
9300MIL2,North Greenwich Pier,NaptanRailAccessArea,51.502212,0.009176,RB5
9300WAS1,Woolwich Pier,NaptanFerryBerth,51.495764,0.070866,RB5
930GMIL,North Greenwich Pier,NaptanFerryPort,51.502097,0.008776,RB5
930GWAS,Woolwich Arsenal Pier,NaptanFerryPort,51.495167,0.07058,RB5
9300BFR1,Blackfriars Pier,NaptanFerryBerth,51.510754,-0.106743,RB6
9300BFR2,Blackfriars Pier,NaptanFerryBerth,51.510667,-0.106891,RB6
9300BSE1,Cadogan Pier,NaptanFerryBerth,51.482872,-0.166403,RB6
9300CAW1,Canary Wharf Pier,NaptanFerryBerth,51.505306,-0.028809,RB6
9300CHP1,Chelsea Harbour Pier,NaptanFerryBerth,51.474043,-0.179847,RB6
9300CHP2,Chelsea Harbour Pier,NaptanFerryBerth,51.473999,-0.17992,RB6
9300EMB1,Embankment Pier,NaptanFerryBerth,51.507291,-0.121182,RB6
9300LBR1,London Bridge Pier,NaptanFerryBerth,51.506916,-0.084681,RB6
9300LBR2,London Bridge Pier,NaptanFerryBerth,51.506917,-0.084768,RB6
9300PLW1,Plantation Wharf,NaptanFerryBerth,51.466834,-0.181775,RB6
9300PLW2,Plantation Wharf,NaptanFerryBerth,51.466836,-0.181919,RB6
9300PUT1,Putney Pier.,NaptanFerryBerth,51.467298,-0.215491,RB6
9300SGW1,Vauxhall St George Pier,NaptanFerryBerth,51.486464,-0.126878,RB6
