stationName,lat,lon,wktgeom,style,streetAddress,locality,postcode
Acton Town Station,-.280251203536110600,51.502749773000570000,"POINT(-.280251203536110600,51.502749773000570000)",tube, Gunnersbury Lane, London, W3 8HN
"
				Aldgate Station
			","
					-.075614184477749600",51.514271823083390000,"POINT(
					-.075614184477749600,51.514271823083390000)",tube, Aldgate High St, London, EC3N 1AH
"
				Aldgate East Station
			","
					-.072287119975365420",51.515233413796480000,"POINT(
					-.072287119975365420,51.515233413796480000)",tube, Whitechapel High St, London, E1 7PT
"
				Alperton Station
			","
					-.299486538678611470",51.540694766293470000,"POINT(
					-.299486538678611470,51.540694766293470000)",tube, Wembley, Middlesex, HA0 4LL
"
				Amersham Station
			","
					-.607478839102469000",51.674149710629730000,"POINT(
					-.607478839102469000,51.674149710629730000)",tube, Stn Approach, Amersham, Bucks HP6 5AZ
"
				Angel Station
			","
					-.105789913665305300",51.532498868904300000,"POINT(
					-.105789913665305300,51.532498868904300000)",tube, City Rd, London, EC1V 1NE
"
				Archway Station
			","
					-.135113518210335370",51.565426754533750000,"POINT(
					-.135113518210335370,51.565426754533750000)",tube, Junction Rd, London, N19 5RQ
"
				Arnos Grove Station
			","
					-.133516309581780070",51.616340261056756000,"POINT(
					-.133516309581780070,51.616340261056756000)",tube, Bowes Rd, London, N11 1AN
"
				Arsenal Station
			","
					-.105761988175557870",51.558498768776680000,"POINT(
					-.105761988175557870,51.558498768776680000)",tube, Highbury Hill, London, N5 1LP
"
				Baker Street Station
			","
					-.156900356057780880",51.523061248142790000,"POINT(
					-.156900356057780880,51.523061248142790000)",tube,Baker Street Station Marylebone Rd, London, NW1
"
				Balham Station
			","
					-.153207552666472820",51.443328979635250000,"POINT(
					-.153207552666472820,51.443328979635250000)",tube, Balham High Rd, London, SW12 9BW
"
				Bank Station
			","
					-.088915809045260000",51.513302371519344000,"POINT(
					-.088915809045260000,51.513302371519344000)",tube, Princes St, London, EC3V 3LA
"
				Barbican Station
			","
					-.097711123216248310",51.520145725324900000,"POINT(
					-.097711123216248310,51.520145725324900000)",tube, Aldersgate St, London, EC1A 4JA
"
				Barking Station
			","
					.080863182849410430",51.539451208515715000,"POINT(
					.080863182849410430,51.539451208515715000)",tube, Barking, Essex, IG11 8TU
"
				Barkingside Station
			","
					.088511013821779280",51.585785960390545000,"POINT(
					.088511013821779280,51.585785960390545000)",tube, Milford, Essex, IG6 1NB
"
				Barons Court Station
			","
					-.213606857361082370",51.490159942708935000,"POINT(
					-.213606857361082370,51.490159942708935000)",tube, Pallister Rd, London, W14
"
				Bayswater Station
			","
					-.188038262221618460",51.512233058741060000,"POINT(
					-.188038262221618460,51.512233058741060000)",tube, Queensway, London, W2 4QH
"
				Becontree Station
			","
					.127400321155280580",51.540288535204700000,"POINT(
					.127400321155280580,51.540288535204700000)",tube, Dagenham, Essex, RM9 4TP
"
				Belsize Park Station
			","
					-.164232306333818050",51.550426627718240000,"POINT(
					-.164232306333818050,51.550426627718240000)",tube, Haverstock Hill, London, NW3 2AL
"
				Bermondsey Station
			","
					-.063651350918079250",51.497949119581570000,"POINT(
					-.063651350918079250,51.497949119581570000)",tube, 142 - 154 Jamaica Rd, London, SE16 4RX
"
				Bethnal Green Station
			","
					-.055431117145884300",51.527195236069566000,"POINT(
					-.055431117145884300,51.527195236069566000)",tube, Cambridge Heath Rd, London, E2 0ET
"
				Blackfriars Station
			","
					-.103606731219862620",51.511490522247490000,"POINT(
					-.103606731219862620,51.511490522247490000)",tube, 179 Queen Victoria St, London, EC4V 4DD
"
				Blackhorse Road Station
			","
					-.040996340920370744",51.586951195438930000,"POINT(
					-.040996340920370744,51.586951195438930000)",tube, Blackhorse Rd, London, E17 6ND
"
				Bond Street Station
			","
					-.149332354586202300",51.513804535388070000,"POINT(
					-.149332354586202300,51.513804535388070000)",tube, Oxford St, London, W1R 1FE
"
				Borough Station
			","
					-.093702664758373440",51.501193998928510000,"POINT(
					-.093702664758373440,51.501193998928510000)",tube, Borough High St, London, SE1 1JX
"
				Boston Manor Station
			","
					-.324763573796374050",51.495696382188164000,"POINT(
					-.324763573796374050,51.495696382188164000)",tube, Brentford, Middx, TW8 9LQ
"
				Bounds Green Station
			","
					-.124218963208536690",51.607090556952755000,"POINT(
					-.124218963208536690,51.607090556952755000)",tube, Bounds Green Rd, London, N11 2EU
"
				Bow Road Station
			","
					-.024823746874528683",51.526800254826064000,"POINT(
					-.024823746874528683,51.526800254826064000)",tube, Bow Road, London, E3 4DH
"
				Brent Cross Station
			","
					-.213455833755365300",51.576800471443870000,"POINT(
					-.213455833755365300,51.576800471443870000)",tube, Highfield Avenue, London, NW11 9UA
"
				Brixton Station
			","
					-.114635581578615600",51.462581333631725000,"POINT(
					-.114635581578615600,51.462581333631725000)",tube, Brixton Rd, London, SW9 8HE
"
				Buckhurst Hill Station
			","
					.046743856240495990",51.626517330409435000,"POINT(
					.046743856240495990,51.626517330409435000)",tube, Buckhurst Hill, Essex, IG9 5ET
"
				Burnt Oak Station
			","
					-.264198758145630100",51.602681099702550000,"POINT(
					-.264198758145630100,51.602681099702550000)",tube, Edgware, Middx, HA8 0LA
"
				Caledonian Road Station
			","
					-.118312333133271940",51.548421318403776000,"POINT(
					-.118312333133271940,51.548421318403776000)",tube, Caledonian Rd, London, N7 9BA
"
				Camden Town Station
			","
					-.142726148730286300",51.539403522631090000,"POINT(
					-.142726148730286300,51.539403522631090000)",tube, Camden High St, London, NW1 8NH
"
				Canada Water Station
			","
					-.049705986794378270",51.497888681995114000,"POINT(
					-.049705986794378270,51.497888681995114000)",tube, Surrey Quays, London, SE16
"
				Canary Wharf Station
			","
					-.019431816253263262",51.503550485647594000,"POINT(
					-.019431816253263262,51.503550485647594000)",tube, Canary Wharf, London, E14 4HJ
"
				Canning Town Station
			","
					.008171036532588041",51.513837129289570000,"POINT(
					.008171036532588041,51.513837129289570000)",tube, Canning Town, London, E16 1DQ
"
				Cannon Street Station
			","
					-.090694850680980680",51.511433722337300000,"POINT(
					-.090694850680980680,51.511433722337300000)",tube, Cannon St, London, EC4N 6AP
"
				Canons Park Station
			","
					-.294653740878426550",51.607759515215320000,"POINT(
					-.294653740878426550,51.607759515215320000)",tube, Edgware, Middx, HA8 6RN
"
				Chalfont & Latimer Station
			","
					-.560534956448776200",51.668025473926090000,"POINT(
					-.560534956448776200,51.668025473926090000)",tube, Amersham, Bucks, HP7 9PR
"
				Chalk Farm Station
			","
					-.153728009451251480",51.544083102422630000,"POINT(
					-.153728009451251480,51.544083102422630000)",tube, Adelaide Rd, London, NW3 2BP
"
				Chancery Lane Station
			","
					-.111677427383970640",51.518123230614440000,"POINT(
					-.111677427383970640,51.518123230614440000)",tube, High Holborn, London, WC1V 6DR
"
				Charing Cross Station
			","
					-.124754686624366030",51.508593207603190000,"POINT(
					-.124754686624366030,51.508593207603190000)",tube, Trafalgar Square, London, WC2N 5DR
"
				Chesham Station
			","
					-.611219246324909900",51.705030454829610000,"POINT(
					-.611219246324909900,51.705030454829610000)",tube, Chesham, Bucks, HP5 1DH
"
				Chigwell Station
			","
					.074526611263722940",51.617871925405100000,"POINT(
					.074526611263722940,51.617871925405100000)",tube, Chigwell, Essex, IG7 6NT
"
				Chiswick Park Station
			","
					-.267746873913726140",51.494300591745144000,"POINT(
					-.267746873913726140,51.494300591745144000)",tube, Bollo Lane, London, W4 5NE
"
				Chorleywood Station
			","
					-.518365989763054100",51.654217860774500000,"POINT(
					-.518365989763054100,51.654217860774500000)",tube, Chorleywood, Rickmansworth, Herts WD3 5ND
