id,url,commonName,placeType,bikePointsNo,timeModified,nFilledDocks,nEmptyDocks,nTotalDocks,lat,lon
BikePoints_1,https://api-neon.tfl.gov.uk/Place/BikePoints_1,"River Street , Clerkenwell",BikePoint,001023,2016-10-25T15:00:12.38Z,14,5,19,51.529163,-0.10997
BikePoints_2,https://api-neon.tfl.gov.uk/Place/BikePoints_2,"Phillimore Gardens, Kensington",BikePoint,001018,2016-10-25T14:55:10.127Z,8,27,37,51.499606,-0.197574
BikePoints_3,https://api-neon.tfl.gov.uk/Place/BikePoints_3,"Christopher Street, Liverpool Street",BikePoint,001012,2016-10-25T15:00:12.38Z,25,5,32,51.521283,-0.084605
BikePoints_4,https://api-neon.tfl.gov.uk/Place/BikePoints_4,"St. Chad's Street, King's Cross",BikePoint,001013,2016-10-25T14:40:08.437Z,0,23,23,51.530059,-0.120973
BikePoints_5,https://api-neon.tfl.gov.uk/Place/BikePoints_5,"Sedding Street, Sloane Square",BikePoint,003420,2016-10-25T15:00:12.38Z,16,10,27,51.49313,-0.156876
BikePoints_6,https://api-neon.tfl.gov.uk/Place/BikePoints_6,"Broadcasting House, Marylebone",BikePoint,003424,2016-10-25T15:00:12.38Z,11,7,18,51.518117,-0.144228
BikePoints_7,https://api-neon.tfl.gov.uk/Place/BikePoints_7,"Charlbert Street, St. John's Wood",BikePoint,003422,2016-10-25T13:04:47.213Z,9,7,16,51.5343,-0.168074
BikePoints_8,https://api-neon.tfl.gov.uk/Place/BikePoints_8,"Lodge Road, St. John's Wood",BikePoint,003423,2016-10-25T08:46:36.697Z,5,13,18,51.528341,-0.170134
BikePoints_9,https://api-neon.tfl.gov.uk/Place/BikePoints_9,"New Globe Walk, Bankside",BikePoint,001015,2016-10-25T14:55:10.127Z,12,7,19,51.507385,-0.09644
BikePoints_10,https://api-neon.tfl.gov.uk/Place/BikePoints_10,"Park Street, Bankside",BikePoint,001024,2016-10-25T14:45:08.457Z,5,13,18,51.505974,-0.092754
BikePoints_11,https://api-neon.tfl.gov.uk/Place/BikePoints_11,"Brunswick Square, Bloomsbury",BikePoint,001022,2016-10-25T14:50:09.387Z,19,5,24,51.523951,-0.122502
BikePoints_12,https://api-neon.tfl.gov.uk/Place/BikePoints_12,"Malet Street, Bloomsbury",BikePoint,000980,2016-10-25T15:00:12.38Z,35,8,49,51.52168,-0.130431
BikePoints_13,https://api-neon.tfl.gov.uk/Place/BikePoints_13,"Scala Street, Fitzrovia",BikePoint,000970,2016-10-25T14:35:06.733Z,10,11,21,51.519914,-0.136039
BikePoints_14,https://api-neon.tfl.gov.uk/Place/BikePoints_14,"Belgrove Street , King's Cross",BikePoint,001011,2016-10-25T15:00:12.38Z,18,27,48,51.529943,-0.123616
BikePoints_15,https://api-neon.tfl.gov.uk/Place/BikePoints_15,"Great Russell Street, Bloomsbury",BikePoint,000988,2016-10-25T14:55:10.127Z,14,12,26,51.517727,-0.127854
BikePoints_16,https://api-neon.tfl.gov.uk/Place/BikePoints_16,"Cartwright Gardens , Bloomsbury",BikePoint,001010,2016-10-25T14:35:06.733Z,0,22,22,51.526357,-0.125979
BikePoints_17,https://api-neon.tfl.gov.uk/Place/BikePoints_17,"Hatton Wall, Holborn",BikePoint,001008,2016-10-25T14:55:10.127Z,19,7,26,51.521661,-0.109006
BikePoints_18,https://api-neon.tfl.gov.uk/Place/BikePoints_18,"Drury Lane, Covent Garden",BikePoint,001007,2016-10-25T14:55:10.127Z,20,6,27,51.51477,-0.122219
BikePoints_19,https://api-neon.tfl.gov.uk/Place/BikePoints_19,"Taviton Street, Bloomsbury",BikePoint,001009,2016-10-25T14:55:10.127Z,7,23,30,51.52505,-0.131161
BikePoints_20,https://api-neon.tfl.gov.uk/Place/BikePoints_20,"Drummond Street , Euston",BikePoint,000993,2016-10-25T14:40:08.437Z,1,26,28,51.527736,-0.135273
BikePoints_21,https://api-neon.tfl.gov.uk/Place/BikePoints_21,"Hampstead Road (Cartmel), Euston",BikePoint,003426,2016-10-25T14:00:00.977Z,2,13,16,51.530078,-0.138846
BikePoints_22,https://api-neon.tfl.gov.uk/Place/BikePoints_22,"Northington Street , Holborn",BikePoint,003425,2016-10-25T14:40:08.437Z,11,8,19,51.522264,-0.114079
BikePoints_23,https://api-neon.tfl.gov.uk/Place/BikePoints_23,"Red Lion Square, Holborn",BikePoint,003421,2016-10-25T15:00:12.38Z,7,9,16,51.519435,-0.119123
BikePoints_24,https://api-neon.tfl.gov.uk/Place/BikePoints_24,"British Museum, Bloomsbury",BikePoint,000981,2016-10-25T15:00:12.38Z,24,11,35,51.51908,-0.124678
BikePoints_25,https://api-neon.tfl.gov.uk/Place/BikePoints_25,"Doric Way , Somers Town",BikePoint,001004,2016-10-25T14:45:08.457Z,2,28,31,51.528833,-0.13225
BikePoints_26,https://api-neon.tfl.gov.uk/Place/BikePoints_26,"Ampton Street , Clerkenwell",BikePoint,001019,2016-10-25T14:40:08.437Z,4,16,21,51.52728,-0.118295
BikePoints_27,https://api-neon.tfl.gov.uk/Place/BikePoints_27,"Bouverie Street, Temple",BikePoint,001021,2016-10-25T14:55:10.127Z,31,2,33,51.513821,-0.107927
BikePoints_28,https://api-neon.tfl.gov.uk/Place/BikePoints_28,"Bolsover Street, Fitzrovia",BikePoint,001025,2016-10-25T13:34:56.47Z,19,0,19,51.523518,-0.143613
BikePoints_29,https://api-neon.tfl.gov.uk/Place/BikePoints_29,"Hereford Road, Bayswater",BikePoint,001016,2016-10-25T14:45:08.457Z,8,14,22,51.513735,-0.193487
BikePoints_30,https://api-neon.tfl.gov.uk/Place/BikePoints_30,"Windsor Terrace, Hoxton",BikePoint,001029,2016-10-25T15:00:12.38Z,5,19,24,51.529154,-0.093421
