Stop_Code_LBSL,Bus_Stop_Code,Naptan_Atco,Stop_Name,Location_Easting,Location_Northing,Heading,Stop_Area,Virtual_Bus_Stop
1000,91532,490000266G,WESTMINSTER STATION <> / PARLIAMENT SQUARE,530171,179738,177,0K08,0
10001,72689,490013793E,TREVOR CLOSE,515781,174783,78,NB16,0
10002,48461,490000108F,HIGHBURY CORNER,531614,184603,5,C902,0
10003,77150,490000108B,HIGHBURY & ISLINGTON STATION <> #,531551,184803,127,C903,0
10004,48037,490012451S,ST MARY MAGDALENE CHURCH,531365,184986,141,C904,0
10005,57538,490012451N,ST MARY MAGDALENE CHURCH,531328,185009,322,C904,0
10010,48458,490000114Y,HOLLOWAY ROAD STATION <>,531036,185378,141,C703,0
10011,58713,490000114U,HOLLOWAY ROAD STATION <>,530939,185465,321,C703,0
10014,71829,490009485R,LYNWOOD ROAD,517950,182729,99,QT08,0
10015,54595,490009485Q,LYNWOOD ROAD,517907,182704,278,QT08,0
