stationNaptan,stationName,stopType,lat,lon,line
9300BFR1,Blackfriars Pier,NaptanFerryBerth,51.51075,-0.106748,RB6
9300BFR2,Blackfriars Pier,NaptanFerryBerth,51.510662,-0.106896,RB6
9300BSE1,Cadogan Pier,NaptanFerryBerth,51.482868,-0.166406,RB6
9300CAW1,Canary Wharf Pier,NaptanFerryBerth,51.505302,-0.028816,RB6
9300CHP1,Chelsea Harbour Pier,NaptanFerryBerth,51.47404,-0.179849,RB6
9300CHP2,Chelsea Harbour Pier,NaptanFerryBerth,51.473996,-0.179923,RB6
9300EMB1,Embankment Pier,NaptanFerryBerth,51.507286,-0.121187,RB6
9300LBR1,London Bridge Pier,NaptanFerryBerth,51.506912,-0.084687,RB6
9300LBR2,London Bridge Pier,NaptanFerryBerth,51.506913,-0.084773,RB6
9300PLW1,Plantation Wharf,NaptanFerryBerth,51.466831,-0.181777,RB6
9300PLW2,Plantation Wharf,NaptanFerryBerth,51.466833,-0.181921,RB6
9300PUT1,Putney Pier.,NaptanFerryBerth,51.467295,-0.215492,RB6
9300SGW1,Vauxhall St George Pier,NaptanFerryBerth,51.486461,-0.126883,RB6
9300SGW2,Vauxhall St George Pier,NaptanFerryBerth,51.486462,-0.126983,RB6
9300SWK1,Bankside Pier,NaptanFerryBerth,51.508743,-0.096629,RB6
9300WRQ1,Wandsworth Pier,NaptanFerryBerth,51.462842,-0.198923,RB6
9300WRQ2,Wandsworth Pier,NaptanFerryBerth,51.462879,-0.198994,RB6
930GBFR,Blackfriars Pier,NaptanFerryPort,51.510858,-0.105649,RB6
930GBSE,Cadogan Pier,NaptanFerryPort,51.483256,-0.16652,RB6
930GCAW,Canary Wharf Pier,NaptanFerryPort,51.505692,-0.028482,RB6
930GCHP,Chelsea Harbour Pier,NaptanFerryPort,51.474146,-0.180335,RB6
930GEMB,Embankment Pier,NaptanFerryPort,51.507389,-0.121428,RB6
930GLBR,London Bridge City Pier,NaptanFerryPort,51.506598,-0.084758,RB6
930GPLW,Plantation Wharf Pier,NaptanFerryPort,51.466833,-0.181921,RB6
930GPUT,Putney Pier,NaptanFerryPort,51.467083,-0.215774,RB6
930GSGW,St. George Wharf Pier,NaptanFerryPort,51.486461,-0.126883,RB6
930GSWK,Bankside Pier,NaptanFerryPort,51.508388,-0.096384,RB6
930GWRQ,Wandsworth Riverside Quarter Pier,NaptanFerryPort,51.462771,-0.199013,RB6
