stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522883,-0.15713,bakerloo,yes,1,"Baker Street Station Marylebone Rd,London,NW1"
940GZZLUCHX,Charing Cross Underground Station,NaptanMetroStation,51.50741,-0.127277,bakerloo,yes,1,"Charing Cross Underground Station,London Underground Ltd.,Trafalgar Square,London,WC2N 5DR"
940GZZLUEAC,Elephant & Castle Underground Station,NaptanMetroStation,51.494536,-0.100606,bakerloo,yes,1+2,"Elephant & Castle Underground Station,London Underground Ltd.,London Rd,London,SE1 6LW"
940GZZLUEMB,Embankment Underground Station,NaptanMetroStation,51.507058,-0.122666,bakerloo,yes,1,"Embankment Station,London Underground Ltd.,Villiers St,London,WC2N 6NS"
940GZZLUERB,Edgware Road (Bakerloo) Underground Station,NaptanMetroStation,51.520299,-0.17015,bakerloo,yes,1,"Edgware Road Bakerloo,London Underground Ltd.,Edgware Road,London,W2 1DY"
940GZZLUHAW,Harrow & Wealdstone Underground Station,NaptanMetroStation,51.592268,-0.335217,bakerloo,yes,5,"Harrow & Wealdstone,London Overground Ltd.,High Street,Harrow,HA3 5BP"
940GZZLUHSN,Harlesden Underground Station,NaptanMetroStation,51.53631,-0.257883,bakerloo,yes,3,"Harlesden,London Overground Ltd,Acton Lane,LONDON,NW10 7AA"
940GZZLUKEN,Kenton Underground Station,NaptanMetroStation,51.581756,-0.31691,bakerloo,yes,4,"Kenton,London Overground Ltd.,Kenton Road,Harrow,HA3 0AZ"
940GZZLUKPK,Kilburn Park Underground Station,NaptanMetroStation,51.534979,-0.194232,bakerloo,yes,2,"Kilburn Park Station,London Underground Ltd.,Cambridge Avenue,London,NW6 5AD"
940GZZLUKSL,Kensal Green Underground Station,NaptanMetroStation,51.530539,-0.225016,bakerloo,no,2,"Kensal Green,London Overground Ltd.,College Road,Kensal Green,HA10 5JT"
940GZZLULBN,Lambeth North Underground Station,NaptanMetroStation,51.498808,-0.112315,bakerloo,yes,1,"Lambeth North Station,London Underground Ltd.,110 Westminster Bridge Rd,London,SE1 7XG"
940GZZLUMVL,Maida Vale Underground Station,NaptanMetroStation,51.529777,-0.185758,bakerloo,yes,2,"Maida Vale Station,London Underground Ltd.,Elgin Avenue,London,W9 1JS"
940GZZLUMYB,Marylebone Underground Station,NaptanMetroStation,51.522322,-0.163207,bakerloo,yes,1,"Marylebone Underground Station,London Underground Ltd.,Harewood Row,London,NW1 6JP"
940GZZLUNWY,North Wembley Underground Station,NaptanMetroStation,51.562551,-0.304,bakerloo,no,4,"North Wembley,London Overground Ltd.,East Lane,Wembley,HA9 7NT"
940GZZLUOXC,Oxford Circus Underground Station,NaptanMetroStation,51.515224,-0.141903,bakerloo,yes,1,"Oxford Circus Station,London Underground Ltd.,Oxford St,London,W1B 3AG"
940GZZLUPAC,Paddington Underground Station,NaptanMetroStation,51.516581,-0.175689,bakerloo,yes,1,"Paddington Underground Stations,London Underground Ltd.,Praed St,London,W2"
940GZZLUPCC,Piccadilly Circus Underground Station,NaptanMetroStation,51.51005,-0.133798,bakerloo,yes,1,"Piccadilly Circus Station,London Underground Ltd.,Piccadilly Circus,London,W1J 9HP"
940GZZLUQPS,Queen's Park Underground Station,NaptanMetroStation,51.534158,-0.204574,bakerloo,yes,2,"Queen's Park,London Overground Ltd.,Salusbury Road,London,NW6 6NL"
940GZZLURGP,Regent's Park Underground Station,NaptanMetroStation,51.523344,-0.146444,bakerloo,yes,1,"Regent's Park Station,London Underground Ltd.,Marylebone Rd,London,NW1 5HA"
940GZZLUSGP,Stonebridge Park Underground Station,NaptanMetroStation,51.543959,-0.275892,bakerloo,yes,3,"Stonebridge Park,London Overground Ltd.,North Circular Road,London,NW10 0RL"
940GZZLUSKT,South Kenton Underground Station,NaptanMetroStation,51.570232,-0.308433,bakerloo,yes,4,"South Kenton,London Overground Ltd.,Windermere Road,Preston,HA9 8RD"
940GZZLUWJN,Willesden Junction Underground Station,NaptanMetroStation,51.532259,-0.244283,bakerloo,yes,2+3,"Willesden Junction,London Overground Ltd.,Station Approach,Harlesden,NW10 4UY"
940GZZLUWKA,Warwick Avenue Underground Station,NaptanMetroStation,51.523263,-0.183783,bakerloo,yes,2,"Warwick Avenue Station,London Underground Ltd.,Warwick Avenue,London,W9 2PT"
940GZZLUWLO,Waterloo Underground Station,NaptanMetroStation,51.503299,-0.11478,bakerloo,yes,1,"Waterloo Underground Station,London Underground Ltd.,York Rd,London,SE1 7ND"
940GZZLUWYC,Wembley Central Underground Station,NaptanMetroStation,51.552304,-0.296852,bakerloo,yes,4,"Wembley Central,London Overground Ltd.,High Road,Wembley,HA9 7AJ"
