stationNaptan,stationName,stopType,lat,lon,line
910GACTNCTL,Acton Central Rail Station,NaptanRailStation,51.508716,-0.262971,london-overground
910GANERLEY,Anerley Rail Station,NaptanRailStation,51.412153,-0.065886,london-overground
910GBARKING,Barking Rail Station,NaptanRailStation,51.539495,0.080903,london-overground
910GBHILLPK,Bush Hill Park Rail Station,NaptanRailStation,51.641519,-0.069221,london-overground
910GBLCHSRD,Blackhorse Road Rail Station,NaptanRailStation,51.586605,-0.041236,london-overground
910GBRBY,Brondesbury Rail Station,NaptanRailStation,51.545166,-0.202309,london-overground
910GBRBYPK,Brondesbury Park Rail Station,NaptanRailStation,51.540929,-0.209902,london-overground
910GBROCKLY,Brockley Rail Station,NaptanRailStation,51.464649,-0.037537,london-overground
910GBRUCGRV,Bruce Grove Rail Station,NaptanRailStation,51.593959,-0.069867,london-overground
910GBTHNLGR,Bethnal Green Rail Station,NaptanRailStation,51.523917,-0.059568,london-overground
910GBUSHYDC,Bushey Rail Station,NaptanRailStation,51.645693,-0.384355,london-overground
910GCAMHTH,Cambridge Heath (London) Rail Station,NaptanRailStation,51.531973,-0.057279,london-overground
910GCHESHNT,Cheshunt Rail Station,NaptanRailStation,51.702876,-0.02396,london-overground
910GCHINGFD,Chingford Rail Station,NaptanRailStation,51.633087,0.009897,london-overground
910GCLAPTON,Clapton Rail Station,NaptanRailStation,51.561644,-0.057025,london-overground
910GCLDNNRB,Caledonian Road & Barnsbury Rail Station,NaptanRailStation,51.543041,-0.116729,london-overground
910GCLPHHS,Clapham High Street Rail Station,NaptanRailStation,51.465481,-0.132522,london-overground
910GCLPHMJ1,Clapham Junction Rail Station,NaptanRailStation,51.464187,-0.170221,london-overground
910GCMDNRD,Camden Road Rail Station,NaptanRailStation,51.541791,-0.138701,london-overground
910GCNDAW,Canada Water Rail Station,NaptanRailStation,51.49799,-0.04972,london-overground
910GCNNB,Canonbury Rail Station,NaptanRailStation,51.548732,-0.092191,london-overground
910GCROUCHH,Crouch Hill Rail Station,NaptanRailStation,51.571302,-0.117149,london-overground
910GCRPNDPK,Carpenders Park Rail Station,NaptanRailStation,51.628351,-0.385939,london-overground
910GCRYSTLP,Crystal Palace Rail Station,NaptanRailStation,51.418109,-0.07261,london-overground
910GCSEAH,Imperial Wharf Rail Station,NaptanRailStation,51.474949,-0.182823,london-overground
910GDALS,Dalston Junction Rail Station,NaptanRailStation,51.546116,-0.075137,london-overground
910GDALSKLD,Dalston Kingsland Rail Station,NaptanRailStation,51.548148,-0.075701,london-overground
