stationNaptan,stationName,stopType,lat,lon,line
940GZZLUALD,Aldgate Underground Station,NaptanMetroStation,51.514246,-0.075689,metropolitan
940GZZLUAMS,Amersham Underground Station,NaptanMetroStation,51.674126,-0.607714,metropolitan
940GZZLUBBN,Barbican Underground Station,NaptanMetroStation,51.520275,-0.097993,metropolitan
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522883,-0.15713,metropolitan
940GZZLUCAL,Chalfont & Latimer Underground Station,NaptanMetroStation,51.667985,-0.560689,metropolitan
940GZZLUCSM,Chesham Underground Station,NaptanMetroStation,51.705208,-0.611247,metropolitan
940GZZLUCXY,Croxley Underground Station,NaptanMetroStation,51.647044,-0.441718,metropolitan
940GZZLUCYD,Chorleywood Underground Station,NaptanMetroStation,51.654358,-0.518461,metropolitan
940GZZLUEAE,Eastcote Underground Station,NaptanMetroStation,51.576506,-0.397373,metropolitan
940GZZLUESQ,Euston Square Underground Station,NaptanMetroStation,51.525604,-0.135829,metropolitan
940GZZLUFCN,Farringdon Underground Station,NaptanMetroStation,51.520252,-0.104913,metropolitan
940GZZLUFYR,Finchley Road Underground Station,NaptanMetroStation,51.546825,-0.179845,metropolitan
940GZZLUGPS,Great Portland Street Underground Station,NaptanMetroStation,51.52384,-0.144262,metropolitan
940GZZLUHGD,Hillingdon Underground Station,NaptanMetroStation,51.553715,-0.449828,metropolitan
940GZZLUHOH,Harrow-on-the-Hill Underground Station,NaptanMetroStation,51.579195,-0.337225,metropolitan
940GZZLUICK,Ickenham Underground Station,NaptanMetroStation,51.561716,-0.442256,metropolitan
940GZZLUKSX,King's Cross St. Pancras Underground Station,NaptanMetroStation,51.530663,-0.123194,metropolitan
940GZZLULVT,Liverpool Street Underground Station,NaptanMetroStation,51.517372,-0.083182,metropolitan
940GZZLUMGT,Moorgate Underground Station,NaptanMetroStation,51.518176,-0.088322,metropolitan
940GZZLUMPK,Moor Park Underground Station,NaptanMetroStation,51.629845,-0.432454,metropolitan
940GZZLUNHA,North Harrow Underground Station,NaptanMetroStation,51.584872,-0.362408,metropolitan
940GZZLUNKP,Northwick Park Underground Station,NaptanMetroStation,51.578481,-0.318056,metropolitan
940GZZLUNOW,Northwood Underground Station,NaptanMetroStation,51.611053,-0.423829,metropolitan
940GZZLUNWH,Northwood Hills Underground Station,NaptanMetroStation,51.600572,-0.409464,metropolitan
940GZZLUPNR,Pinner Underground Station,NaptanMetroStation,51.592901,-0.381161,metropolitan
940GZZLUPRD,Preston Road Underground Station,NaptanMetroStation,51.571972,-0.295107,metropolitan
940GZZLURKW,Rickmansworth Underground Station,NaptanMetroStation,51.640207,-0.473703,metropolitan
940GZZLURSM,Ruislip Manor Underground Station,NaptanMetroStation,51.573202,-0.412973,metropolitan
940GZZLURSP,Ruislip Underground Station,NaptanMetroStation,51.571354,-0.421898,metropolitan
940GZZLURYL,Rayners Lane Underground Station,NaptanMetroStation,51.575147,-0.371127,metropolitan
940GZZLUUXB,Uxbridge Underground Station,NaptanMetroStation,51.546565,-0.477949,metropolitan
940GZZLUWAF,Watford Underground Station,NaptanMetroStation,51.657446,-0.417377,metropolitan
940GZZLUWHW,West Harrow Underground Station,NaptanMetroStation,51.57971,-0.3534,metropolitan
940GZZLUWIG,Willesden Green Underground Station,NaptanMetroStation,51.549146,-0.221537,metropolitan
940GZZLUWYP,Wembley Park Underground Station,NaptanMetroStation,51.563198,-0.279262,metropolitan
