stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZLUALD,Aldgate Underground Station,NaptanMetroStation,51.514246,-0.075689,metropolitan,yes,1,"Aldgate Station,London Underground Ltd.,Aldgate High St,London,EC3N 1AH"
940GZZLUAMS,Amersham Underground Station,NaptanMetroStation,51.674126,-0.607714,metropolitan,yes,9,"Amersham Station,Stn Approach,Amersham,Bucks HP6 5AZ"
940GZZLUBBN,Barbican Underground Station,NaptanMetroStation,51.520275,-0.097993,metropolitan,yes,1,"Barbican Station,London Underground Ltd.,Aldersgate St,London,EC1A 4JA"
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522883,-0.15713,metropolitan,yes,1,"Baker Street Station Marylebone Rd,London,NW1"
940GZZLUCAL,Chalfont & Latimer Underground Station,NaptanMetroStation,51.667985,-0.560689,metropolitan,yes,8,"Chalfont & Latimer Station,London Underground Ltd.,Station Approach,Little Chalfont,Amersham,Bucks,HP7 9PR"
940GZZLUCSM,Chesham Underground Station,NaptanMetroStation,51.705208,-0.611247,metropolitan,yes,9,"Chesham Station,London Underground Ltd.,Station Approach,Chesham,Bucks,HP5 1DH"
940GZZLUCXY,Croxley Underground Station,NaptanMetroStation,51.647044,-0.441718,metropolitan,yes,7,"Croxley Station,London Underground Ltd.,Watford Road,Rickmansworth,Herts,WD3 3DY"
940GZZLUCYD,Chorleywood Underground Station,NaptanMetroStation,51.654358,-0.518461,metropolitan,yes,7,"Chorleywood Station,London Underground Ltd.,Station Approach,Chorleywood,Rickmansworth,Herts WD3 5ND"
940GZZLUEAE,Eastcote Underground Station,NaptanMetroStation,51.576506,-0.397373,metropolitan,no,5,"Eastcote Station,London Underground Ltd.,Field End Rd,Ruislip,Middx,HA5 1QZ"
940GZZLUESQ,Euston Square Underground Station,NaptanMetroStation,51.525604,-0.135829,metropolitan,yes,1,"Euston Square Station,London Underground Ltd.,Euston Rd,London,NW1 2BN"
940GZZLUFCN,Farringdon Underground Station,NaptanMetroStation,51.520252,-0.104913,metropolitan,no,1,"Farringdon Station,London Underground Ltd.,Cowcross St,London,EC1M 6BY"
940GZZLUFYR,Finchley Road Underground Station,NaptanMetroStation,51.546825,-0.179845,metropolitan,no,2,"Finchley Road Underground Station,London Underground Ltd.,Finchley Road,London,NW3 6OP"
940GZZLUGPS,Great Portland Street Underground Station,NaptanMetroStation,51.52384,-0.144262,metropolitan,yes,1,"Great Portland Street Station,London Underground Ltd.,Euston Rd,London,NW1"
940GZZLUHGD,Hillingdon Underground Station,NaptanMetroStation,51.553715,-0.449828,metropolitan,yes,6,"Hillingdon Station,London Underground Ltd.,Long Lane,Hillingdon,Uxbridge,Middlesex,UB10 9NR"
940GZZLUHOH,Harrow-on-the-Hill Underground Station,NaptanMetroStation,51.579195,-0.337225,metropolitan,yes,5,"Ickenham Station,London Underground Ltd.,Glebe Avenue,Uxbridge,Middx,UB10 8PD"
940GZZLUICK,Ickenham Underground Station,NaptanMetroStation,51.561716,-0.442256,metropolitan,yes,6,"King's Cross St. Pancras,London Underground Ltd.,Euston Road,London,N1 9AL"
940GZZLUKSX,King's Cross St. Pancras Underground Station,NaptanMetroStation,51.530663,-0.123194,metropolitan,yes,1,"Liverpool Street Underground Station Central,London Underground Ltd.,Liverpool Street,London,EC2M 7PP"
940GZZLULVT,Liverpool Street Underground Station,NaptanMetroStation,51.517372,-0.083182,metropolitan,yes,1,"Moorgate Station,London Underground Ltd.,Moorfields,London,EC2Y 9AE"
940GZZLUMGT,Moorgate Underground Station,NaptanMetroStation,51.518176,-0.088322,metropolitan,no,1,"Moor Park Station,London Underground Ltd.,Sandy Lodge Lane,Rickmansworth,Herts,HA6 2JQ."
940GZZLUMPK,Moor Park Underground Station,NaptanMetroStation,51.629845,-0.432454,metropolitan,yes,6+7,"North Harrow Station,London Underground Ltd.,Station Rd,North Harrow,Middx,HA2 7SR"
940GZZLUNHA,North Harrow Underground Station,NaptanMetroStation,51.584872,-0.362408,metropolitan,yes,5,"Northwick Park Station,London Underground Ltd.,Northwick Avenue,Harrow,Middx,HA3 0AT"
