stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZLUACT,Acton Town Underground Station,NaptanMetroStation,51.503057,-0.280462,piccadilly,yes,3,"Acton Town Station,London Underground Ltd.,Gunnersbury Lane,London,W3 8HN"
940GZZLUALP,Alperton Underground Station,NaptanMetroStation,51.540627,-0.29961,piccadilly,yes,4,"Alperton Station,London Underground Ltd.,Ealing Rd,Wembley,Middlesex,HA0 4LL"
940GZZLUASG,Arnos Grove Underground Station,NaptanMetroStation,51.616446,-0.133062,piccadilly,yes,4,"Arnos Grove Station,London Underground Ltd.,Bowes Rd,London,N11 1AN"
940GZZLUASL,Arsenal Underground Station,NaptanMetroStation,51.558655,-0.107457,piccadilly,yes,2,"Arsenal Station,London Underground Ltd.,Highbury Hill,London,N5 1LP"
940GZZLUBDS,Bounds Green Underground Station,NaptanMetroStation,51.607034,-0.124235,piccadilly,yes,3+4,"Bounds Green Station,London Underground Ltd.,Bounds Green Rd,London,N11 2EU"
940GZZLUBOS,Boston Manor Underground Station,NaptanMetroStation,51.495635,-0.324939,piccadilly,yes,4,"Boston Manor Station,London Underground Ltd.,Boston Manor Rd,Brentford,Middx,TW8 9LQ"
940GZZLUBSC,Barons Court Underground Station,NaptanMetroStation,51.490311,-0.213427,piccadilly,yes,2,"Barons Court Station,London Underground Ltd.,Pallister Rd,London,W14"
940GZZLUCAR,Caledonian Road Underground Station,NaptanMetroStation,51.548519,-0.118493,piccadilly,yes,2,"Caledonian Road Underground Station,London Underground Ltd.,Caledonian Rd,London,N7 9BA"
940GZZLUCGN,Covent Garden Underground Station,NaptanMetroStation,51.513093,-0.124436,piccadilly,yes,1,"Covent Garden Station,London Underground Ltd.,Long Acre,London,WC2E 9JT"
940GZZLUCKS,Cockfosters Underground Station,NaptanMetroStation,51.65152,-0.149171,piccadilly,yes,5,"Cockfosters Station,London Underground Ltd.,Cockfosters Rd,Barnet,Herts,EN4 0DZ"
940GZZLUEAE,Eastcote Underground Station,NaptanMetroStation,51.576506,-0.397373,piccadilly,no,5,"Eastcote Station,London Underground Ltd.,Field End Rd,Ruislip,Middx,HA5 1QZ"
940GZZLUECM,Ealing Common Underground Station,NaptanMetroStation,51.51014,-0.288265,piccadilly,yes,3,"Ealing Common Station,London Underground Ltd.,Uxbridge Rd,London,W5 3LD"
940GZZLUECT,Earl's Court Underground Station,NaptanMetroStation,51.492063,-0.193378,piccadilly,yes,1+2,"Earl's Court Station,London Underground Ltd.,Earl's Court Rd,London,SW5 9QA"
940GZZLUFPK,Finsbury Park Underground Station,NaptanMetroStation,51.564158,-0.106825,piccadilly,yes,2,"Finsbury Park Underground Station,London Underground Ltd.,Wells Terrace,London,N4 3JU"
940GZZLUGPK,Green Park Underground Station,NaptanMetroStation,51.506947,-0.142787,piccadilly,yes,1,"Green Park Station,London Underground Ltd.,Piccadilly,London,W1J 9DZ"
