stationNaptan,stationName,stopType,lat,lon,line
940GZZCRADD,Addiscombe Tram Stop,NaptanMetroStation,51.37981,-0.073242,tram
940GZZCRADV,Addington Village Tram Stop,NaptanMetroStation,51.356241,-0.032694,tram
940GZZCRAMP,Ampere Way Tram Stop,NaptanMetroStation,51.382301,-0.123651,tram
940GZZCRARA,Arena Tram Stop,NaptanMetroStation,51.391525,-0.058347,tram
940GZZCRAVE,Avenue Road Tram Stop,NaptanMetroStation,51.4068,-0.049476,tram
940GZZCRBED,Beddington Lane Tram Stop,NaptanMetroStation,51.389242,-0.142167,tram
940GZZCRBEK,Beckenham Junction Tram Stop,NaptanMetroStation,51.41073,-0.026401,tram
940GZZCRBGV,Belgrave Walk Tram Stop,NaptanMetroStation,51.399722,-0.180256,tram
940GZZCRBIR,Birkbeck Tram Stop,NaptanMetroStation,51.403767,-0.055787,tram
940GZZCRBLA,Blackhorse Lane Tram Stop,NaptanMetroStation,51.384757,-0.070562,tram
940GZZCRBRD,Beckenham Road Tram Stop,NaptanMetroStation,51.409532,-0.043421,tram
940GZZCRCEN,George Street Tram Stop,NaptanMetroStation,51.373977,-0.098746,tram
940GZZCRCHR,Church Street Tram Stop,NaptanMetroStation,51.373708,-0.104361,tram
940GZZCRCOO,Coombe Lane Tram Stop,NaptanMetroStation,51.359791,-0.05956,tram
940GZZCRCTR,Centrale Tram Stop,NaptanMetroStation,51.375769,-0.103917,tram
940GZZCRDDR,Dundonald Road Tram Stop,NaptanMetroStation,51.417555,-0.207679,tram
940GZZCRECR,East Croydon Tram Stop,NaptanMetroStation,51.374863,-0.092416,tram
940GZZCRELM,Elmers End Tram Stop,NaptanMetroStation,51.398474,-0.049557,tram
940GZZCRFLD,Fieldway Tram Stop,NaptanMetroStation,51.351319,-0.024532,tram
940GZZCRGRA,Gravel Hill Tram Stop,NaptanMetroStation,51.354545,-0.04315,tram
940GZZCRHAR,Harrington Road Tram Stop,NaptanMetroStation,51.399793,-0.060729,tram
940GZZCRKGH,King Henry's Drive Tram Stop,NaptanMetroStation,51.34614,-0.020849,tram
940GZZCRLEB,Lebanon Road Tram Stop,NaptanMetroStation,51.375201,-0.085002,tram
940GZZCRLOY,Lloyd Park Tram Stop,NaptanMetroStation,51.364278,-0.080775,tram
940GZZCRMCH,Mitcham Tram Stop,NaptanMetroStation,51.39749,-0.1709,tram
940GZZCRMDN,Morden Road Tram Stop,NaptanMetroStation,51.408874,-0.192834,tram
940GZZCRMJT,Mitcham Junction Tram Stop,NaptanMetroStation,51.392868,-0.158263,tram
940GZZCRMTP,Merton Park Tram Stop,NaptanMetroStation,51.413589,-0.201219,tram
940GZZCRNWA,New Addington Tram Stop,NaptanMetroStation,51.342593,-0.017412,tram
940GZZCRPHI,Phipps Bridge Tram Stop,NaptanMetroStation,51.403979,-0.18164,tram
940GZZCRRVC,Reeves Corner Tram Stop,NaptanMetroStation,51.375279,-0.106408,tram
940GZZCRSAN,Sandilands Tram Stop,NaptanMetroStation,51.375024,-0.078041,tram
940GZZCRTPA,Therapia Lane Tram Stop,NaptanMetroStation,51.385697,-0.129045,tram
940GZZCRWAD,Waddon Marsh Tram Stop,NaptanMetroStation,51.377076,-0.118016,tram
940GZZCRWAN,Wandle Park Tram Stop,NaptanMetroStation,51.373403,-0.113282,tram
940GZZCRWCR,West Croydon Tram Stop,NaptanMetroStation,51.378971,-0.101701,tram
940GZZCRWEL,Wellesley Road Tram Stop,NaptanMetroStation,51.37537,-0.097554,tram
940GZZCRWMB,Wimbledon Tram Stop,NaptanMetroStation,51.421051,-0.205816,tram
940GZZCRWOD,Woodside Tram Stop,NaptanMetroStation,51.3871,-0.065361,tram
