stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZLUBLR,Blackhorse Road Underground Station,NaptanMetroStation,51.586919,-0.04115,victoria,yes,3,"Blackhorse Road Underground Station,London Underground Ltd.,Blackhorse Rd,London,E17 6ND"
940GZZLUBXN,Brixton Underground Station,NaptanMetroStation,51.462618,-0.114888,victoria,yes,2,"Brixton Underground Station,London Underground Ltd.,Brixton Rd,London,SW9 8HE"
940GZZLUEUS,Euston Underground Station,NaptanMetroStation,51.528186,-0.134239,victoria,yes,1,"Euston Underground Station,London Underground Ltd.,Eversholt St,London,NW1 2DU"
940GZZLUFPK,Finsbury Park Underground Station,NaptanMetroStation,51.564158,-0.106825,victoria,yes,2,"Finsbury Park Underground Station,London Underground Ltd.,Wells Terrace,London,N4 3JU"
940GZZLUGPK,Green Park Underground Station,NaptanMetroStation,51.506947,-0.142787,victoria,yes,1,"Green Park Station,London Underground Ltd.,Piccadilly,London,W1J 9DZ"
940GZZLUHAI,Highbury & Islington Underground Station,NaptanMetroStation,51.54635,-0.103324,victoria,yes,2,"Highbury & Islington Underground Station,London Underground Ltd.,Holloway Rd,London,N5 1RA"
940GZZLUKSX,King's Cross St. Pancras Underground Station,NaptanMetroStation,51.530663,-0.123194,victoria,yes,1,"King's Cross St. Pancras,London Underground Ltd.,Euston Road,London,N1 9AL"
940GZZLUOXC,Oxford Circus Underground Station,NaptanMetroStation,51.515224,-0.141903,victoria,yes,1,"Oxford Circus Station,London Underground Ltd.,Oxford St,London,W1B 3AG"
940GZZLUPCO,Pimlico Underground Station,NaptanMetroStation,51.489097,-0.133761,victoria,yes,1,"Pimlico Station,London Underground Ltd.,Bessborough St,London,SW1V 2JA"
940GZZLUSKW,Stockwell Underground Station,NaptanMetroStation,51.472184,-0.122644,victoria,yes,2,"Stockwell Station,London Underground Ltd.,Clapham Rd,London,SW9 9AE"
940GZZLUSVS,Seven Sisters Underground Station,NaptanMetroStation,51.58333,-0.072584,victoria,yes,3,"Seven Sisters Underground Station,London Underground Ltd.,Seven Sisters Rd,London"
940GZZLUTMH,Tottenham Hale Underground Station,NaptanMetroStation,51.588108,-0.060241,victoria,yes,3,"Tottenham Hale Underground Station,London Underground Ltd.,Station Rd,London,N17 9LR"
940GZZLUVIC,Victoria Underground Station,NaptanMetroStation,51.496359,-0.143102,victoria,yes,1,"Victoria Underground Station,London Underground Ltd.,Victoria St,London,SW1E 5ND"
940GZZLUVXL,Vauxhall Underground Station,NaptanMetroStation,51.485743,-0.124204,victoria,yes,1+2,"Vauxhall Underground Station,London Underground Ltd.,Vauxhall Cross,London,SE1"
940GZZLUWRR,Warren Street Underground Station,NaptanMetroStation,51.524951,-0.138321,victoria,yes,1,"Warren Street Station,London Underground Ltd.,Tottenham Court Rd,London,NW1 3AA"
940GZZLUWWL,Walthamstow Central Underground Station,NaptanMetroStation,51.582965,-0.019885,victoria,yes,3,"Walthamstow Central Station BR Hoe St,London,E17 7LP"
