stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZDLABR,Abbey Road DLR Station,NaptanMetroStation,51.531926,0.003737,dlr,no,2/3,"All Saints DLR Station,Docklands Light Railway,East India Dock Road,London,E14"
940GZZDLALL,All Saints DLR Station,NaptanMetroStation,51.511,-0.013135,dlr,no,2,"Bank/Monument Complex,London Underground Ltd.,Princes St,London,EC3V 3LA"
940GZZDLBEC,Beckton DLR Station,NaptanMetroStation,51.514362,0.061453,dlr,no,3,"Canning Town Station,London Underground Ltd.,Silvertown Way,Canning Town,London,E16 1DQ"
940GZZDLBLA,Blackwall DLR Station,NaptanMetroStation,51.507991,-0.006969,dlr,no,2,"Shadwell Station,London Overground Ltd.,Cable St,London,E1 2QE"
940GZZDLBNK,Bank DLR Station,NaptanMetroStation,51.513233,-0.088515,dlr,yes,1,"Stratford Station BR Station St,London,E15 1DE"
940GZZDLBOW,Bow Church DLR Station,NaptanMetroStation,51.527858,-0.020936,dlr,no,2,"West Ham Underground Station,London Underground Ltd.,Manor Rd,London,E15 3BN"
940GZZDLBPK,Beckton Park DLR Station,NaptanMetroStation,51.508793,0.054932,dlr,no,3,
940GZZDLCAN,Canary Wharf DLR Station,NaptanMetroStation,51.504838,-0.020997,dlr,no,2,
940GZZDLCGT,Canning Town DLR Station,NaptanMetroStation,51.514127,0.008101,dlr,yes,2/3,
940GZZDLCLA,Crossharbour DLR Station,NaptanMetroStation,51.495728,-0.014606,dlr,no,2,
940GZZDLCUS,Custom House (for ExCel) DLR Station,NaptanMetroStation,51.509716,0.026699,dlr,no,3,
940GZZDLCUT,Cutty Sark (for Maritime Greenwich) DLR Station,NaptanMetroStation,51.481671,-0.01081,dlr,no,2+3,
940GZZDLCYP,Cyprus DLR Station,NaptanMetroStation,51.508473,0.063925,dlr,no,3,
940GZZDLDEP,Deptford Bridge DLR Station,NaptanMetroStation,51.474215,-0.022438,dlr,no,2+3,
940GZZDLDEV,Devons Road DLR Station,NaptanMetroStation,51.522667,-0.017615,dlr,no,2,
940GZZDLEIN,East India DLR Station,NaptanMetroStation,51.509359,-0.002326,dlr,no,2+3,
940GZZDLELV,Elverson Road DLR Station,NaptanMetroStation,51.469074,-0.016728,dlr,no,2+3,
940GZZDLGAL,Gallions Reach DLR Station,NaptanMetroStation,51.508941,0.071555,dlr,no,3,
940GZZDLGRE,Greenwich DLR Station,NaptanMetroStation,51.478087,-0.013673,dlr,no,2+3,
940GZZDLHEQ,Heron Quays DLR Station,NaptanMetroStation,51.503379,-0.021421,dlr,no,2,
940GZZDLISL,Island Gardens DLR Station,NaptanMetroStation,51.487811,-0.010139,dlr,no,2,
940GZZDLKGV,King George V DLR Station,NaptanMetroStation,51.502003,0.062624,dlr,no,3,
940GZZDLLCA,London City Airport DLR Station,NaptanMetroStation,51.503416,0.048739,dlr,no,3,
940GZZDLLDP,Langdon Park DLR Station,NaptanMetroStation,51.515172,-0.01415,dlr,no,2,
940GZZDLLEW,Lewisham DLR Station,NaptanMetroStation,51.464665,-0.012874,dlr,no,2+3,
940GZZDLLIM,Limehouse DLR Station,NaptanMetroStation,51.512393,-0.039809,dlr,no,2,
940GZZDLMUD,Mudchute DLR Station,NaptanMetroStation,51.490704,-0.014738,dlr,no,2,
940GZZDLPDK,Pontoon Dock DLR Station,NaptanMetroStation,51.502212,0.032115,dlr,no,3,
940GZZDLPOP,Poplar DLR Station,NaptanMetroStation,51.507744,-0.017384,dlr,no,2,
940GZZDLPRE,Prince Regent DLR Station,NaptanMetroStation,51.509263,0.034158,dlr,no,3,
940GZZDLPUD,Pudding Mill Lane DLR Station,NaptanMetroStation,51.534302,-0.012755,dlr,no,2+3,
940GZZDLRAL,Royal Albert DLR Station,NaptanMetroStation,51.508357,0.045935,dlr,no,3,
940GZZDLRVC,Royal Victoria DLR Station,NaptanMetroStation,51.509336,0.018497,dlr,no,3,
940GZZDLSHA,Shadwell DLR Station,NaptanMetroStation,51.511693,-0.056643,dlr,yes,2,
940GZZDLSHS,Stratford High Street DLR Station,NaptanMetroStation,51.538196,-0.001078,dlr,no,2/3,
940GZZDLSIT,Stratford International DLR Station,NaptanMetroStation,51.545265,-0.009638,dlr,no,2/3,
940GZZDLSOQ,South Quay DLR Station,NaptanMetroStation,51.500053,-0.016133,dlr,no,2,
940GZZDLSTD,Stratford DLR Station,NaptanMetroStation,51.541758,-0.003287,dlr,yes,2/3,
940GZZDLSTL,Star Lane DLR Station,NaptanMetroStation,51.520786,0.004156,dlr,no,2/3,
940GZZDLTWG,Tower Gateway DLR Station,NaptanMetroStation,51.510617,-0.074818,dlr,no,1,
940GZZDLWFE,Westferry DLR Station,NaptanMetroStation,51.509431,-0.02675,dlr,no,2,
940GZZDLWHM,West Ham DLR Station,NaptanMetroStation,51.527894,0.004482,dlr,yes,2/3,
940GZZDLWIQ,West India Quay DLR Station,NaptanMetroStation,51.50703,-0.020311,dlr,no,2,
940GZZDLWLA,Woolwich Arsenal DLR Station,NaptanMetroStation,51.490009,0.069127,dlr,no,4,
940GZZDLWSV,West Silvertown DLR Station,NaptanMetroStation,51.502838,0.02246,dlr,no,3,
