910GACTNCTL,Acton Central Rail Station,NaptanRailStation,51.508716,-0.262971,london-overground,yes,3,"Acton CentralRailway Station,Churchfield Road,Acton,Greater London,W3 6BH"
910GANERLEY,Anerley Rail Station,NaptanRailStation,51.412153,-0.065886,london-overground,yes,4,"Anerley Station Road,Anerley,SE20 8PY"
910GBARKING,Barking Rail Station,NaptanRailStation,51.539495,0.080903,london-overground,yes,4,"Barking Station BR Station Parade,Longbridge Rd,Barking,Essex,IG11 8TU"
910GBHILLPK,Bush Hill Park Rail Station,NaptanRailStation,51.641519,-0.069221,london-overground,yes,5,"St Marks Road,Enfield,Greater London,EN1 1BA"
910GBLCHSRD,Blackhorse Road Rail Station,NaptanRailStation,51.586605,-0.041236,london-overground,yes,3,"Blackhorse Road Underground Station,London Underground Ltd.,Blackhorse Rd,London,E17 6ND"
910GBRBY,Brondesbury Rail Station,NaptanRailStation,51.545166,-0.202309,london-overground,yes,2,"Brondesbury Railway Station,Kilburn High Road,Kilburn,Greater London,NW6 7QB"
910GBRBYPK,Brondesbury Park Rail Station,NaptanRailStation,51.540929,-0.209902,london-overground,no,2,"Brondesbury Park Railway Station,Brondesbury Park Road,Brondesbury,Greater London,NW6 6RP"
910GBROCKLY,Brockley Rail Station,NaptanRailStation,51.464649,-0.037537,london-overground,yes,2,"Coulgate Street,Brockley,London,London,SE4 2RW"
910GBRUCGRV,Bruce Grove Rail Station,NaptanRailStation,51.593959,-0.069867,london-overground,yes,3,"High Road,Tottenham,N17 6QA"
910GBTHNLGR,Bethnal Green Rail Station,NaptanRailStation,51.523917,-0.059568,london-overground,yes,2,"Bethnal Green station,Three Colts Lane,Bethnal Green,London,E2 6JL"
910GBUSHYDC,Bushey Rail Station,NaptanRailStation,51.645693,-0.384355,london-overground,no,2,"Cambridge Heath station,Cambridge Heath Road,Bethnal Green,London,E2 9EG"
910GCAMHTH,Cambridge Heath (London) Rail Station,NaptanRailStation,51.531973,-0.057279,london-overground,yes,8,"Station Approach,Windmill Lane,Cheshunt,EN8 9AQ"
910GCHESHNT,Cheshunt Rail Station,NaptanRailStation,51.702876,-0.02396,london-overground,yes,5,"Station Road,Chingford,E4 6AL"
910GCHINGFD,Chingford Rail Station,NaptanRailStation,51.633087,0.009897,london-overground,yes,2+3,"Upper Clapton Road,Clapton,E5 9JP"
910GCLAPTON,Clapton Rail Station,NaptanRailStation,51.561644,-0.057025,london-overground,no,2,"Caledonian Rd,Barnsbury,Greater London,N1 1DF"
910GCLDNNRB,Caledonian Road & Barnsbury Rail Station,NaptanRailStation,51.543041,-0.116729,london-overground,no,2,"Edgeley Road,Greater London,SW4 6EU"
910GCLPHHS,Clapham High Street Rail Station,NaptanRailStation,51.465481,-0.132522,london-overground,yes,2,"Camden Road Railway Station,Camden Road,NW1 9LS"
910GCLPHMJ1,Clapham Junction Rail Station,NaptanRailStation,51.464187,-0.170221,london-overground,yes,2,"Canada Water Station,London Underground Ltd.,Deal Porter Way,Surrey Quays,London,SE16"
910GCMDNRD,Camden Road Rail Station,NaptanRailStation,51.541791,-0.138701,london-overground,yes,2,"Canonbury Railway Station,Wallace Road,Canonbury,Greater London,N1 2PG"
910GCNDAW,Canada Water Rail Station,NaptanRailStation,51.49799,-0.04972,london-overground,no,3,"Crouch Hill station,Crouch Hill,Stroud Green,London,N4 4AU"
910GCNNB,Canonbury Rail Station,NaptanRailStation,51.548732,-0.092191,london-overground,yes,7,"Carpenders Park Railway Station,Prestwick Road,Watford,WD19 7DT,WD19 7DT"
