stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522883,-0.15713,bakerloo,yes,1,"Baker Street Station Marylebone Rd,London,NW1"
940GZZLUCHX,Charing Cross Underground Station,NaptanMetroStation,51.50741,-0.127277,bakerloo,yes,1,"Charing Cross Underground Station,London Underground Ltd.,Trafalgar Square,London,WC2N 5DR"
940GZZLUEAC,Elephant & Castle Underground Station,NaptanMetroStation,51.494536,-0.100606,bakerloo,yes,1+2,"Elephant & Castle Underground Station,London Underground Ltd.,London Rd,London,SE1 6LW"
940GZZLUEMB,Embankment Underground Station,NaptanMetroStation,51.507058,-0.122666,bakerloo,yes,1,"Embankment Station,London Underground Ltd.,Villiers St,London,WC2N 6NS"
940GZZLUERB,Edgware Road (Bakerloo) Underground Station,NaptanMetroStation,51.520299,-0.17015,bakerloo,yes,1,"Edgware Road Bakerloo,London Underground Ltd.,Edgware Road,London,W2 1DY"
940GZZLUHAW,Harrow & Wealdstone Underground Station,NaptanMetroStation,51.592268,-0.335217,bakerloo,yes,5,"Harrow & Wealdstone,London Overground Ltd.,High Street,Harrow,HA3 5BP"
940GZZLUHSN,Harlesden Underground Station,NaptanMetroStation,51.53631,-0.257883,bakerloo,yes,3,"Harlesden,London Overground Ltd,Acton Lane,LONDON,NW10 7AA"
940GZZLUKEN,Kenton Underground Station,NaptanMetroStation,51.581756,-0.31691,bakerloo,yes,4,"Kenton,London Overground Ltd.,Kenton Road,Harrow,HA3 0AZ"
940GZZLUKPK,Kilburn Park Underground Station,NaptanMetroStation,51.534979,-0.194232,bakerloo,yes,2,"Kilburn Park Station,London Underground Ltd.,Cambridge Avenue,London,NW6 5AD"
940GZZLUKSL,Kensal Green Underground Station,NaptanMetroStation,51.530539,-0.225016,bakerloo,no,2,"Kensal Green,London Overground Ltd.,College Road,Kensal Green,HA10 5JT"
940GZZLULBN,Lambeth North Underground Station,NaptanMetroStation,51.498808,-0.112315,bakerloo,yes,1,"Lambeth North Station,London Underground Ltd.,110 Westminster Bridge Rd,London,SE1 7XG"
940GZZLUMVL,Maida Vale Underground Station,NaptanMetroStation,51.529777,-0.185758,bakerloo,yes,2,"Maida Vale Station,London Underground Ltd.,Elgin Avenue,London,W9 1JS"
940GZZLUMYB,Marylebone Underground Station,NaptanMetroStation,51.522322,-0.163207,bakerloo,yes,1,"Marylebone Underground Station,London Underground Ltd.,Harewood Row,London,NW1 6JP"
940GZZLUNWY,North Wembley Underground Station,NaptanMetroStation,51.562551,-0.304,bakerloo,no,4,"North Wembley,London Overground Ltd.,East Lane,Wembley,HA9 7NT"
940GZZLUOXC,Oxford Circus Underground Station,NaptanMetroStation,51.515224,-0.141903,bakerloo,yes,1,"Oxford Circus Station,London Underground Ltd.,Oxford St,London,W1B 3AG"
940GZZLUPAC,Paddington Underground Station,NaptanMetroStation,51.516581,-0.175689,bakerloo,yes,1,"Paddington Underground Stations,London Underground Ltd.,Praed St,London,W2"
940GZZLUPCC,Piccadilly Circus Underground Station,NaptanMetroStation,51.51005,-0.133798,bakerloo,yes,1,"Piccadilly Circus Station,London Underground Ltd.,Piccadilly Circus,London,W1J 9HP"
940GZZLUQPS,Queen's Park Underground Station,NaptanMetroStation,51.534158,-0.204574,bakerloo,yes,2,"Queen's Park,London Overground Ltd.,Salusbury Road,London,NW6 6NL"
940GZZLURGP,Regent's Park Underground Station,NaptanMetroStation,51.523344,-0.146444,bakerloo,yes,1,"Regent's Park Station,London Underground Ltd.,Marylebone Rd,London,NW1 5HA"
940GZZLUSGP,Stonebridge Park Underground Station,NaptanMetroStation,51.543959,-0.275892,bakerloo,yes,3,"Stonebridge Park,London Overground Ltd.,North Circular Road,London,NW10 0RL"
940GZZLUSKT,South Kenton Underground Station,NaptanMetroStation,51.570232,-0.308433,bakerloo,yes,4,"South Kenton,London Overground Ltd.,Windermere Road,Preston,HA9 8RD"
940GZZLUWJN,Willesden Junction Underground Station,NaptanMetroStation,51.532259,-0.244283,bakerloo,yes,2+3,"Willesden Junction,London Overground Ltd.,Station Approach,Harlesden,NW10 4UY"
940GZZLUWKA,Warwick Avenue Underground Station,NaptanMetroStation,51.523263,-0.183783,bakerloo,yes,2,"Warwick Avenue Station,London Underground Ltd.,Warwick Avenue,London,W9 2PT"
940GZZLUWLO,Waterloo Underground Station,NaptanMetroStation,51.503299,-0.11478,bakerloo,yes,1,"Waterloo Underground Station,London Underground Ltd.,York Rd,London,SE1 7ND"
940GZZLUWYC,Wembley Central Underground Station,NaptanMetroStation,51.552304,-0.296852,bakerloo,yes,4,"Wembley Central,London Overground Ltd.,High Road,Wembley,HA9 7AJ"
940GZZLUBKE,Barkingside Underground Station,NaptanMetroStation,51.585689,0.088585,central,yes,4,"Barkingside Station,London Underground Ltd.,Stn Rd,Barkingside,Milford,Essex,IG6 1NB"
940GZZLUBKH,Buckhurst Hill Underground Station,NaptanMetroStation,51.626605,0.046757,central,yes,5,"Buckhurst Hill Station,London Underground Ltd.,Victoria Rd,Buckhurst Hill,Essex,IG9 5ET"
940GZZLUBLG,Bethnal Green Underground Station,NaptanMetroStation,51.527222,-0.055506,central,yes,2,"Bethnal Green Underground Station,London Underground Ltd.,Cambridge Heath Rd,London,E2 0ET"
940GZZLUBND,Bond Street Underground Station,NaptanMetroStation,51.514304,-0.149723,central,no,1,"Bond Street Station,London Underground Ltd.,Oxford St,London,W1R 1FE"
940GZZLUBNK,Bank Underground Station,NaptanMetroStation,51.513356,-0.088899,central,yes,1,"Bank/Monument Complex,London Underground Ltd.,Princes St,London,EC3V 3LA"
940GZZLUCHL,Chancery Lane Underground Station,NaptanMetroStation,51.518247,-0.111583,central,yes,1,"Chancery Lane Station,London Underground Ltd.,High Holborn,London,WC1V 6DR"
940GZZLUCWL,Chigwell Underground Station,NaptanMetroStation,51.617916,0.075041,central,yes,4,"Chigwell Station,London Underground Ltd.,Station Rd,Chigwell,Essex,IG7 6NT"
940GZZLUDBN,Debden Underground Station,NaptanMetroStation,51.645386,0.083782,central,yes,6,"Debden Station,London Underground Ltd.,Chigwell Lane,Loughton,Essex,IG10 3TG"
940GZZLUEAN,East Acton Underground Station,NaptanMetroStation,51.516612,-0.247248,central,yes,2,"East Acton Station,London Underground Ltd.,Erconwald St,London,W12 0BP"
940GZZLUEBY,Ealing Broadway Underground Station,NaptanMetroStation,51.515017,-0.301457,central,yes,3,"Ealing Broadway Station,The Broadway,London,W5 2NU"
