stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZLUACT,Acton Town Underground Station,NaptanMetroStation,51.503057,-0.280462,circle,yes,3,"Acton Town Station,London Underground Ltd.,Gunnersbury Lane,London,W3 8HN"
940GZZLUALD,Aldgate Underground Station,NaptanMetroStation,51.514246,-0.075689,circle,yes,1,"Aldgate Station,London Underground Ltd.,Aldgate High St,London,EC3N 1AH"
940GZZLUBBN,Barbican Underground Station,NaptanMetroStation,51.520275,-0.097993,circle,yes,1,"Barbican Station,London Underground Ltd.,Aldersgate St,London,EC1A 4JA"
940GZZLUBKF,Blackfriars Underground Station,NaptanMetroStation,51.511581,-0.103659,circle,yes,1,"Blackfriars Station,London Underground Ltd.,Blackfriars Road,London,EC4R 2BB"
940GZZLUBSC,Barons Court Underground Station,NaptanMetroStation,51.490311,-0.213427,circle,yes,2,"Barons Court Station,London Underground Ltd.,Pallister Rd,London,W14"
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522883,-0.15713,circle,yes,1,"Baker Street Station Marylebone Rd,London,NW1"
940GZZLUBWT,Bayswater Underground Station,NaptanMetroStation,51.512284,-0.187938,circle,yes,1,"Bayswater Station,London Underground Ltd.,Queensway,London,W2 4RH"
940GZZLUCST,Cannon Street Underground Station,NaptanMetroStation,51.51151,-0.090432,circle,yes,1,"Cannon Street Underground Station,London Underground Ltd.,Cannon St,London,EC4N 6AP"
940GZZLUCWP,Chiswick Park Underground Station,NaptanMetroStation,51.494627,-0.267972,circle,yes,3,"Chiswick Park Station,London Underground Ltd.,Bollo Lane,London,W4 5NE"
940GZZLUEBY,Ealing Broadway Underground Station,NaptanMetroStation,51.515017,-0.301457,circle,yes,3,"Ealing Broadway Station,The Broadway,London,W5 2NU"
940GZZLUECM,Ealing Common Underground Station,NaptanMetroStation,51.51014,-0.288265,circle,yes,3,"Ealing Common Station,London Underground Ltd.,Uxbridge Rd,London,W5 3LD"
940GZZLUECT,Earl's Court Underground Station,NaptanMetroStation,51.492063,-0.193378,circle,yes,1+2,"Earl's Court Station,London Underground Ltd.,Earl's Court Rd,London,SW5 9QA"
940GZZLUEMB,Embankment Underground Station,NaptanMetroStation,51.507058,-0.122666,circle,yes,1,"Embankment Station,London Underground Ltd.,Villiers St,London,WC2N 6NS"
940GZZLUERC,Edgware Road (Circle Line) Underground Station,NaptanMetroStation,51.519858,-0.167832,circle,yes,1,"Edgware Road Circle,London Underground Ltd.,Chapel Street,London,NW1 5DH"
940GZZLUESQ,Euston Square Underground Station,NaptanMetroStation,51.525604,-0.135829,circle,yes,1,"Euston Square Station,London Underground Ltd.,Euston Rd,London,NW1 2BN"
940GZZLUFCN,Farringdon Underground Station,NaptanMetroStation,51.520252,-0.104913,circle,no,1,"Farringdon Station,London Underground Ltd.,Cowcross St,London,EC1M 6BY"
940GZZLUGHK,Goldhawk Road Underground Station,NaptanMetroStation,51.502005,-0.226715,circle,yes,2,"Goldhawk Road Station,London Underground Ltd.,Goldhawk Rd,London,W12 8EG"
940GZZLUGPS,Great Portland Street Underground Station,NaptanMetroStation,51.52384,-0.144262,circle,yes,1,"Great Portland Street Station,London Underground Ltd.,Euston Rd,London,NW1"
940GZZLUGTR,Gloucester Road Underground Station,NaptanMetroStation,51.494316,-0.182658,circle,yes,1,"Gloucester Road Station,London Underground Ltd.,Gloucester Rd,London,SW7 4SF"
940GZZLUHSC,Hammersmith (H&C Line) Underground Station,NaptanMetroStation,51.493383,-0.225033,circle,no,2,"Hammersmith (H & C),London Underground Ltd.,Beadon Road,London,W6 7AA"
940GZZLUHSD,Hammersmith (Dist&Picc Line) Underground Station,NaptanMetroStation,51.4923,-0.22362,circle,yes,2,"Hammersmith (D & P),London Underground Ltd.,Hammersmith Broadway,London,W6 8AB"
940GZZLUHSK,High Street Kensington Underground Station,NaptanMetroStation,51.501055,-0.192792,circle,yes,1,"High Street Kensington Station,London Underground Ltd.,Kensington High St,London,W8 5SA"
940GZZLUKSX,King's Cross St. Pancras Underground Station,NaptanMetroStation,51.530663,-0.123194,circle,yes,1,"King's Cross St. Pancras,London Underground Ltd.,Euston Road,London,N1 9AL"
940GZZLULAD,Ladbroke Grove Underground Station,NaptanMetroStation,51.517449,-0.210391,circle,yes,2,"Ladbroke Grove Station,London Underground Ltd.,Ladbroke Grove,London,W10 6HJ"
940GZZLULRD,Latimer Road Underground Station,NaptanMetroStation,51.513389,-0.217799,circle,yes,2,"Latimer Road Station,London Underground Ltd.,Bramley Rd,London,W10 6SZ"
940GZZLULVT,Liverpool Street Underground Station,NaptanMetroStation,51.517372,-0.083182,circle,yes,1,"Liverpool Street Underground Station Central,London Underground Ltd.,Liverpool Street,London,EC2M 7PP"
940GZZLUMGT,Moorgate Underground Station,NaptanMetroStation,51.518176,-0.088322,circle,no,1,"Moorgate Station,London Underground Ltd.,Moorfields,London,EC2Y 9AE"
940GZZLUMMT,Monument Underground Station,NaptanMetroStation,51.5107,-0.085969,circle,yes,1,"Monument Station,London Underground Ltd.,King William St,London,EC4R 9AA"
940GZZLUMSH,Mansion House Underground Station,NaptanMetroStation,51.512117,-0.094009,circle,yes,1,"Mansion House Station,London Underground Ltd.,38 Cannon St,London,EC4N 6JD"
940GZZLUNHG,Notting Hill Gate Underground Station,NaptanMetroStation,51.509128,-0.196104,circle,yes,1+2,"Notting Hill Gate Station,London Underground Ltd.,Notting Hill Gate,London,W11 3HT"
940GZZLUPAC,Paddington Underground Station,NaptanMetroStation,51.516581,-0.175689,circle,yes,1,"Paddington Underground Stations,London Underground Ltd.,Praed St,London,W2"
940GZZLUPAH,Paddington (H&C Line)-Underground,NaptanMetroStation,51.518187,-0.178306,circle,yes,1,"Ravenscourt Park Station,London Underground Ltd.,Ravenscourt Rd,London,W6 0UG"
940GZZLURVP,Ravenscourt Park Underground Station,NaptanMetroStation,51.494122,-0.235881,circle,yes,2,"Royal Oak Station,London Underground Ltd.,Lord Hills Bridge,London,W2 6ET"
940GZZLURYO,Royal Oak Underground Station,NaptanMetroStation,51.519113,-0.188748,circle,yes,2,"Shepherd's Bush Market,London Underground Ltd.,Uxbridge Road,London,W12 7JD"
940GZZLUSBM,Shepherd's Bush Market Underground Station,NaptanMetroStation,51.505579,-0.226375,circle,yes,2,"Stamford Brook Station,London Underground Ltd.,Goldhawk Rd,London,W6"
940GZZLUSFB,Stamford Brook Underground Station,NaptanMetroStation,51.494917,-0.245704,circle,yes,2,"St. James's Park,London Underground Ltd.,Petty France,London,SW1H 0BD"
940GZZLUSJP,St. James's Park Underground Station,NaptanMetroStation,51.499544,-0.133608,circle,yes,1,"South Kensington Station,London Underground Ltd.,Pelham St,London,SW7 2NB"
940GZZLUSKS,South Kensington Underground Station,NaptanMetroStation,51.494094,-0.174138,circle,yes,1,"Sloane Square Station,London Underground Ltd.,Sloane Square,London,SW1W 8BB"
940GZZLUSSQ,Sloane Square Underground Station,NaptanMetroStation,51.49227,-0.156377,circle,yes,1,"Temple Station,London Underground Ltd.,Victoria Embankment,London,WC2R 2PH"
