stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZLUACT,Acton Town Underground Station,NaptanMetroStation,51.503057,-0.280462,district,yes,3,"Acton Town Station,London Underground Ltd.,Gunnersbury Lane,London,W3 8HN"
940GZZLUADE,Aldgate East Underground Station,NaptanMetroStation,51.515037,-0.072384,district,yes,1,"Aldgate East Station,London Underground Ltd.,Whitechapel High St,London,E1 7PT"
940GZZLUBBB,Bromley-by-Bow Underground Station,NaptanMetroStation,51.524839,-0.011538,district,yes,2+3,"Bromley-By-Bow,London Underground Ltd.,Blackwell Tunnel Northern Approach,London,E3 3JJ"
940GZZLUBEC,Becontree Underground Station,NaptanMetroStation,51.540331,0.127016,district,yes,5,"Becontree Station,London Underground Ltd.,Gale St,Dagenham,Essex,RM9 4TP"
940GZZLUBKF,Blackfriars Underground Station,NaptanMetroStation,51.511581,-0.103659,district,yes,1,"Blackfriars Station,London Underground Ltd.,Blackfriars Road,London,EC4R 2BB"
940GZZLUBKG,Barking Underground Station,NaptanMetroStation,51.539321,0.081053,district,yes,4,"Barking Station BR Station Parade,Longbridge Rd,Barking,Essex,IG11 8TU"
940GZZLUBSC,Barons Court Underground Station,NaptanMetroStation,51.490311,-0.213427,district,yes,2,"Barons Court Station,London Underground Ltd.,Pallister Rd,London,W14"
940GZZLUBWR,Bow Road Underground Station,NaptanMetroStation,51.52694,-0.025128,district,no,2,"Bow Road Station,London Underground Ltd.,Bow Road,London,E3 4DH"
940GZZLUBWT,Bayswater Underground Station,NaptanMetroStation,51.512284,-0.187938,district,yes,1,"Bayswater Station,London Underground Ltd.,Queensway,London,W2 4RH"
940GZZLUCST,Cannon Street Underground Station,NaptanMetroStation,51.51151,-0.090432,district,yes,1,"Cannon Street Underground Station,London Underground Ltd.,Cannon St,London,EC4N 6AP"
940GZZLUCWP,Chiswick Park Underground Station,NaptanMetroStation,51.494627,-0.267972,district,yes,3,"Chiswick Park Station,London Underground Ltd.,Bollo Lane,London,W4 5NE"
940GZZLUDGE,Dagenham East Underground Station,NaptanMetroStation,51.544096,0.166017,district,yes,5,"Dagenham East Station,London Underground Ltd.,North Rainham Rd,Dagenham,Essex,RM10 8AA"
940GZZLUDGY,Dagenham Heathway Underground Station,NaptanMetroStation,51.541639,0.147527,district,yes,5,"Dagenham Heathway Station,London Underground Ltd.,Heathway,Dagenham,Essex,RM9 5AN"
940GZZLUEBY,Ealing Broadway Underground Station,NaptanMetroStation,51.515017,-0.301457,district,yes,3,"Ealing Broadway Station,The Broadway,London,W5 2NU"
940GZZLUECM,Ealing Common Underground Station,NaptanMetroStation,51.51014,-0.288265,district,yes,3,"Ealing Common Station,London Underground Ltd.,Uxbridge Rd,London,W5 3LD"
940GZZLUECT,Earl's Court Underground Station,NaptanMetroStation,51.492063,-0.193378,district,yes,1+2,"Earl's Court Station,London Underground Ltd.,Earl's Court Rd,London,SW5 9QA"
940GZZLUEHM,East Ham Underground Station,NaptanMetroStation,51.538948,0.051186,district,yes,3+4,"East Ham Station,London Underground Ltd.,High Street North,London,E6 2JA"
940GZZLUEMB,Embankment Underground Station,NaptanMetroStation,51.507058,-0.122666,district,yes,1,"Embankment Station,London Underground Ltd.,Villiers St,London,WC2N 6NS"
940GZZLUEPK,Elm Park Underground Station,NaptanMetroStation,51.549775,0.19864,district,yes,6,"Elm Park Station,London Underground Ltd.,The Broadway,Hornchurch,Essex,RM12 4RW"
940GZZLUEPY,East Putney Underground Station,NaptanMetroStation,51.459205,-0.211,district,yes,2+3,"East Putney Station,Upper Richmond Rd,London,SW15"
940GZZLUERC,Edgware Road (Circle Line) Underground Station,NaptanMetroStation,51.519858,-0.167832,district,yes,1,"Edgware Road Circle,London Underground Ltd.,Chapel Street,London,NW1 5DH"
940GZZLUFBY,Fulham Broadway Underground Station,NaptanMetroStation,51.480081,-0.195422,district,yes,2,"Fulham Broadway Station,London Underground Ltd.,Fulham Broadway,London,SW6 1BY"
940GZZLUGBY,Gunnersbury Underground Station,NaptanMetroStation,51.491803,-0.275267,district,no,3,"Gunnersbury,London Overground Ltd,Chiswick High Road,LONDON,W4 4AN"
940GZZLUGTR,Gloucester Road Underground Station,NaptanMetroStation,51.494316,-0.182658,district,yes,1,"Gloucester Road Station,London Underground Ltd.,Gloucester Rd,London,SW7 4SF"
940GZZLUHCH,Hornchurch Underground Station,NaptanMetroStation,51.554093,0.219116,district,yes,6,"Hornchurch Station,London Underground Ltd.,Station Lane,Hornchurch,Essex,RM12 6LS"
940GZZLUHSD,Hammersmith (Dist&Picc Line) Underground Station,NaptanMetroStation,51.4923,-0.22362,district,yes,2,"Hammersmith (D & P),London Underground Ltd.,Hammersmith Broadway,London,W6 8AB"
940GZZLUHSK,High Street Kensington Underground Station,NaptanMetroStation,51.501055,-0.192792,district,yes,1,"High Street Kensington Station,London Underground Ltd.,Kensington High St,London,W8 5SA"
940GZZLUKOY,Kensington (Olympia) Underground Station,NaptanMetroStation,51.497624,-0.210015,district,yes,2,"Kensington Olympia,Kensington Olympia Station,Olympia Way,LONDON,W14 0NE"
940GZZLUKWG,Kew Gardens Underground Station,NaptanMetroStation,51.477058,-0.285241,district,yes,3+4,"Kew Gardens Station,London Overground Ltd.,Station Approach,RICHMOND,TW9 3BZ"
940GZZLUMED,Mile End Underground Station,NaptanMetroStation,51.525122,-0.03364,district,yes,2,"Mile End Station,London Underground Ltd.,Mile End Rd,London,E3 4DH"
940GZZLUMMT,Monument Underground Station,NaptanMetroStation,51.5107,-0.085969,district,yes,1,"Monument Station,London Underground Ltd.,King William St,London,EC4R 9AA"
940GZZLUMSH,Mansion House Underground Station,NaptanMetroStation,51.512117,-0.094009,district,yes,1,"Mansion House Station,London Underground Ltd.,38 Cannon St,London,EC4N 6JD"
940GZZLUNHG,Notting Hill Gate Underground Station,NaptanMetroStation,51.509128,-0.196104,district,yes,1+2,"Notting Hill Gate Station,London Underground Ltd.,Notting Hill Gate,London,W11 3HT"
940GZZLUPAC,Paddington Underground Station,NaptanMetroStation,51.516581,-0.175689,district,yes,1,"Paddington Underground Stations,London Underground Ltd.,Praed St,London,W2"
940GZZLUPLW,Plaistow Underground Station,NaptanMetroStation,51.531341,0.017451,district,yes,3,"Plaistow Station,London Underground Ltd.,Plaistow Rd,London,E15"
940GZZLUPSG,Parsons Green Underground Station,NaptanMetroStation,51.475277,-0.20117,district,yes,2,"Parsons Green Station,London Underground Ltd.,Parsons Green Lane,London,SW6 4HS"
940GZZLUPYB,Putney Bridge Underground Station,NaptanMetroStation,51.468262,-0.208731,district,no,2,"Putney Bridge Station,London Underground Ltd.,Station Approach,London,SW6 3UH"
940GZZLURMD,Richmond Underground Station,NaptanMetroStation,51.463237,-0.301336,district,yes,4,"Richmond,London Underground Ltd.,The Quadrant,Richmond,TW9 1DN"
940GZZLURVP,Ravenscourt Park Underground Station,NaptanMetroStation,51.494122,-0.235881,district,yes,2,"Ravenscourt Park Station,London Underground Ltd.,Ravenscourt Rd,London,W6 0UG"
940GZZLUSFB,Stamford Brook Underground Station,NaptanMetroStation,51.494917,-0.245704,district,yes,2,"Stamford Brook Station,London Underground Ltd.,Goldhawk Rd,London,W6"
940GZZLUSFS,Southfields Underground Station,NaptanMetroStation,51.445073,-0.206602,district,yes,3,"Southfields Station,Wimbledon Park Rd,London,SW18"
940GZZLUSGN,Stepney Green Underground Station,NaptanMetroStation,51.521858,-0.046596,district,yes,2,"Stepney Green Station,London Underground Ltd.,Mile End Rd,London,E1 4AQ"
940GZZLUSJP,St. James's Park Underground Station,NaptanMetroStation,51.499544,-0.133608,district,yes,1,"St. James's Park,London Underground Ltd.,Petty France,London,SW1H 0BD"
940GZZLUSKS,South Kensington Underground Station,NaptanMetroStation,51.494094,-0.174138,district,yes,1,"South Kensington Station,London Underground Ltd.,Pelham St,London,SW7 2NB"
940GZZLUSSQ,Sloane Square Underground Station,NaptanMetroStation,51.49227,-0.156377,district,yes,1,"Sloane Square Station,London Underground Ltd.,Sloane Square,London,SW1W 8BB"
940GZZLUTMP,Temple Underground Station,NaptanMetroStation,51.511006,-0.11426,district,yes,1,"Temple Station,London Underground Ltd.,Victoria Embankment,London,WC2R 2PH"
940GZZLUTNG,Turnham Green Underground Station,NaptanMetroStation,51.495148,-0.254555,district,yes,2,"Turnham Green Station,London Underground Ltd.,Turnham Green Terrace,London,W4 1LR"
940GZZLUTWH,Tower Hill Underground Station,NaptanMetroStation,51.509971,-0.076546,district,yes,1,"Tower Hill Station,London Underground Ltd.,Trinity Square,London,EC3N 4DJ"
940GZZLUUPB,Upminster Bridge Underground Station,NaptanMetroStation,51.55856,0.235809,district,yes,6,"Upminster Bridge Station,London Underground Ltd.,Upminster Rd,Hornchurch,Essex,RM12 6PL"
940GZZLUUPK,Upton Park Underground Station,NaptanMetroStation,51.53534,0.035263,district,yes,3,"Upton Park Station,London Underground Ltd.,Green St,London,E13 9AP"
940GZZLUUPM,Upminster Underground Station,NaptanMetroStation,51.559063,0.250882,district,yes,6,"Upminster Station NR Station Rd,Upminster,Essex,RM14 2TD"
940GZZLUUPY,Upney Underground Station,NaptanMetroStation,51.538372,0.10153,district,yes,4,"Upney Station,London Underground Ltd.,Upney Lane,Barking,Essex,IG11 9LS"
940GZZLUVIC,Victoria Underground Station,NaptanMetroStation,51.496359,-0.143102,district,yes,1,"Victoria Underground Station,London Underground Ltd.,Victoria St,London,SW1E 5ND"
940GZZLUWBN,West Brompton Underground Station,NaptanMetroStation,51.487268,-0.195599,district,yes,2,"West Brompton Station,London Underground Ltd.,Old Brompton Rd,London,SW5 9JX"
940GZZLUWHM,West Ham Underground Station,NaptanMetroStation,51.528136,0.005055,district,yes,2/3,"West Ham Underground Station,London Underground Ltd.,Manor Rd,London,E15 3BN"
940GZZLUWIM,Wimbledon Underground Station,NaptanMetroStation,51.421207,-0.206573,district,yes,3,"Wimbledon,London Underground Ltd.,The Broadway,London,SW19 7NL"
940GZZLUWIP,Wimbledon Park Underground Station,NaptanMetroStation,51.434573,-0.199719,district,yes,3,"Wimbledon Park Station,Arthur Rd,London,SW19 "
940GZZLUWKN,West Kensington Underground Station,NaptanMetroStation,51.490459,-0.206636,district,yes,2,"West Kensington Station,London Underground Ltd.,North End Rd,London,W14 9NL"
940GZZLUWPL,Whitechapel Underground Station,NaptanMetroStation,51.519518,-0.059971,district,no,2,"Whitechapel Station,London Underground Ltd.,277 Whitechapel Rd,London,E1 1BY"
940GZZLUWSM,Westminster Underground Station,NaptanMetroStation,51.50132,-0.124861,district,yes,1,"Westminster Station,London Underground Ltd.,Bridge St,London,SW1A 2JR"
