stationNaptan,stationName,stopType,lat,lon,line
940GZZDLABR,Abbey Road DLR Station,NaptanMetroStation,51.531926,0.003737,dlr
940GZZDLALL,All Saints DLR Station,NaptanMetroStation,51.511,-0.013135,dlr
940GZZDLBEC,Beckton DLR Station,NaptanMetroStation,51.514362,0.061453,dlr
940GZZDLBLA,Blackwall DLR Station,NaptanMetroStation,51.507991,-0.006969,dlr
940GZZDLBNK,Bank DLR Station,NaptanMetroStation,51.513233,-0.088515,dlr
940GZZDLBOW,Bow Church DLR Station,NaptanMetroStation,51.527858,-0.020936,dlr
940GZZDLBPK,Beckton Park DLR Station,NaptanMetroStation,51.508793,0.054932,dlr
940GZZDLCAN,Canary Wharf DLR Station,NaptanMetroStation,51.504838,-0.020997,dlr
940GZZDLCGT,Canning Town DLR Station,NaptanMetroStation,51.514127,0.008101,dlr
940GZZDLCLA,Crossharbour DLR Station,NaptanMetroStation,51.495728,-0.014606,dlr
940GZZDLCUS,Custom House (for ExCel) DLR Station,NaptanMetroStation,51.509716,0.026699,dlr
940GZZDLCUT,Cutty Sark (for Maritime Greenwich) DLR Station,NaptanMetroStation,51.481671,-0.01081,dlr
940GZZDLCYP,Cyprus DLR Station,NaptanMetroStation,51.508473,0.063925,dlr
940GZZDLDEP,Deptford Bridge DLR Station,NaptanMetroStation,51.474215,-0.022438,dlr
940GZZDLDEV,Devons Road DLR Station,NaptanMetroStation,51.522667,-0.017615,dlr
940GZZDLEIN,East India DLR Station,NaptanMetroStation,51.509359,-0.002326,dlr
940GZZDLELV,Elverson Road DLR Station,NaptanMetroStation,51.469074,-0.016728,dlr
940GZZDLGAL,Gallions Reach DLR Station,NaptanMetroStation,51.508941,0.071555,dlr
940GZZDLGRE,Greenwich DLR Station,NaptanMetroStation,51.478087,-0.013673,dlr
940GZZDLHEQ,Heron Quays DLR Station,NaptanMetroStation,51.503379,-0.021421,dlr
940GZZDLISL,Island Gardens DLR Station,NaptanMetroStation,51.487811,-0.010139,dlr
940GZZDLKGV,King George V DLR Station,NaptanMetroStation,51.502003,0.062624,dlr
940GZZDLLCA,London City Airport DLR Station,NaptanMetroStation,51.503416,0.048739,dlr
940GZZDLLDP,Langdon Park DLR Station,NaptanMetroStation,51.515172,-0.01415,dlr
940GZZDLLEW,Lewisham DLR Station,NaptanMetroStation,51.464665,-0.012874,dlr
940GZZDLLIM,Limehouse DLR Station,NaptanMetroStation,51.512393,-0.039809,dlr
940GZZDLMUD,Mudchute DLR Station,NaptanMetroStation,51.490704,-0.014738,dlr
940GZZDLPDK,Pontoon Dock DLR Station,NaptanMetroStation,51.502212,0.032115,dlr
940GZZDLPOP,Poplar DLR Station,NaptanMetroStation,51.507744,-0.017384,dlr
940GZZDLPRE,Prince Regent DLR Station,NaptanMetroStation,51.509263,0.034158,dlr
940GZZDLPUD,Pudding Mill Lane DLR Station,NaptanMetroStation,51.534302,-0.012755,dlr
940GZZDLRAL,Royal Albert DLR Station,NaptanMetroStation,51.508357,0.045935,dlr
940GZZDLRVC,Royal Victoria DLR Station,NaptanMetroStation,51.509336,0.018497,dlr
940GZZDLSHA,Shadwell DLR Station,NaptanMetroStation,51.511693,-0.056643,dlr
940GZZDLSHS,Stratford High Street DLR Station,NaptanMetroStation,51.538196,-0.001078,dlr
940GZZDLSIT,Stratford International DLR Station,NaptanMetroStation,51.545265,-0.009638,dlr
940GZZDLSOQ,South Quay DLR Station,NaptanMetroStation,51.500053,-0.016133,dlr
940GZZDLSTD,Stratford DLR Station,NaptanMetroStation,51.541758,-0.003287,dlr
940GZZDLSTL,Star Lane DLR Station,NaptanMetroStation,51.520786,0.004156,dlr
940GZZDLTWG,Tower Gateway DLR Station,NaptanMetroStation,51.510617,-0.074818,dlr
940GZZDLWFE,Westferry DLR Station,NaptanMetroStation,51.509431,-0.02675,dlr
940GZZDLWHM,West Ham DLR Station,NaptanMetroStation,51.527894,0.004482,dlr
940GZZDLWIQ,West India Quay DLR Station,NaptanMetroStation,51.50703,-0.020311,dlr
940GZZDLWLA,Woolwich Arsenal DLR Station,NaptanMetroStation,51.490009,0.069127,dlr
940GZZDLWSV,West Silvertown DLR Station,NaptanMetroStation,51.502838,0.02246,dlr
