stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZLUADE,Aldgate East Underground Station,NaptanMetroStation,51.515037,-0.072384,hammersmith-city,yes,1,"Aldgate East Station,London Underground Ltd.,Whitechapel High St,London,E1 7PT"
940GZZLUBBB,Bromley-by-Bow Underground Station,NaptanMetroStation,51.524839,-0.011538,hammersmith-city,yes,2+3,"Bromley-By-Bow,London Underground Ltd.,Blackwell Tunnel Northern Approach,London,E3 3JJ"
940GZZLUBBN,Barbican Underground Station,NaptanMetroStation,51.520275,-0.097993,hammersmith-city,yes,1,"Barbican Station,London Underground Ltd.,Aldersgate St,London,EC1A 4JA"
940GZZLUBKG,Barking Underground Station,NaptanMetroStation,51.539321,0.081053,hammersmith-city,yes,4,"Barking Station BR Station Parade,Longbridge Rd,Barking,Essex,IG11 8TU"
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522883,-0.15713,hammersmith-city,yes,1,"Baker Street Station Marylebone Rd,London,NW1"
940GZZLUBWR,Bow Road Underground Station,NaptanMetroStation,51.52694,-0.025128,hammersmith-city,no,2,"Bow Road Station,London Underground Ltd.,Bow Road,London,E3 4DH"
940GZZLUEHM,East Ham Underground Station,NaptanMetroStation,51.538948,0.051186,hammersmith-city,yes,3+4,"East Ham Station,London Underground Ltd.,High Street North,London,E6 2JA"
940GZZLUERC,Edgware Road (Circle Line) Underground Station,NaptanMetroStation,51.519858,-0.167832,hammersmith-city,yes,1,"Edgware Road Circle,London Underground Ltd.,Chapel Street,London,NW1 5DH"
940GZZLUESQ,Euston Square Underground Station,NaptanMetroStation,51.525604,-0.135829,hammersmith-city,yes,1,"Euston Square Station,London Underground Ltd.,Euston Rd,London,NW1 2BN"
940GZZLUFCN,Farringdon Underground Station,NaptanMetroStation,51.520252,-0.104913,hammersmith-city,no,1,"Farringdon Station,London Underground Ltd.,Cowcross St,London,EC1M 6BY"
940GZZLUGHK,Goldhawk Road Underground Station,NaptanMetroStation,51.502005,-0.226715,hammersmith-city,yes,2,"Goldhawk Road Station,London Underground Ltd.,Goldhawk Rd,London,W12 8EG"
940GZZLUGPS,Great Portland Street Underground Station,NaptanMetroStation,51.52384,-0.144262,hammersmith-city,yes,1,"Great Portland Street Station,London Underground Ltd.,Euston Rd,London,NW1"
940GZZLUHSC,Hammersmith (H&C Line) Underground Station,NaptanMetroStation,51.493383,-0.225033,hammersmith-city,no,2,"Hammersmith (H & C),London Underground Ltd.,Beadon Road,London,W6 7AA"
940GZZLUKSX,King's Cross St. Pancras Underground Station,NaptanMetroStation,51.530663,-0.123194,hammersmith-city,yes,1,"King's Cross St. Pancras,London Underground Ltd.,Euston Road,London,N1 9AL"
940GZZLULAD,Ladbroke Grove Underground Station,NaptanMetroStation,51.517449,-0.210391,hammersmith-city,yes,2,"Ladbroke Grove Station,London Underground Ltd.,Ladbroke Grove,London,W10 6HJ"
940GZZLULRD,Latimer Road Underground Station,NaptanMetroStation,51.513389,-0.217799,hammersmith-city,yes,2,"Latimer Road Station,London Underground Ltd.,Bramley Rd,London,W10 6SZ"
940GZZLULVT,Liverpool Street Underground Station,NaptanMetroStation,51.517372,-0.083182,hammersmith-city,yes,1,"Liverpool Street Underground Station Central,London Underground Ltd.,Liverpool Street,London,EC2M 7PP"
940GZZLUMED,Mile End Underground Station,NaptanMetroStation,51.525122,-0.03364,hammersmith-city,yes,2,"Mile End Station,London Underground Ltd.,Mile End Rd,London,E3 4DH"
940GZZLUMGT,Moorgate Underground Station,NaptanMetroStation,51.518176,-0.088322,hammersmith-city,no,1,"Moorgate Station,London Underground Ltd.,Moorfields,London,EC2Y 9AE"
940GZZLUPAH,Paddington (H&C Line)-Underground,NaptanMetroStation,51.518187,-0.178306,hammersmith-city,yes,1,"Plaistow Station,London Underground Ltd.,Plaistow Rd,London,E15"
940GZZLUPLW,Plaistow Underground Station,NaptanMetroStation,51.531341,0.017451,hammersmith-city,yes,3,"Royal Oak Station,London Underground Ltd.,Lord Hills Bridge,London,W2 6ET"
940GZZLURYO,Royal Oak Underground Station,NaptanMetroStation,51.519113,-0.188748,hammersmith-city,yes,2,"Shepherd's Bush Market,London Underground Ltd.,Uxbridge Road,London,W12 7JD"
940GZZLUSBM,Shepherd's Bush Market Underground Station,NaptanMetroStation,51.505579,-0.226375,hammersmith-city,yes,2,"Stepney Green Station,London Underground Ltd.,Mile End Rd,London,E1 4AQ"
940GZZLUSGN,Stepney Green Underground Station,NaptanMetroStation,51.521858,-0.046596,hammersmith-city,yes,2,"Upton Park Station,London Underground Ltd.,Green St,London,E13 9AP"
940GZZLUUPK,Upton Park Underground Station,NaptanMetroStation,51.53534,0.035263,hammersmith-city,yes,3,"West Ham Underground Station,London Underground Ltd.,Manor Rd,London,E15 3BN"
940GZZLUWHM,West Ham Underground Station,NaptanMetroStation,51.528136,0.005055,hammersmith-city,yes,2/3,"Wood Lane Station,London Underground Ltd.,Wood Lane,London,"
940GZZLUWLA,Wood Lane Underground Station,NaptanMetroStation,51.509669,-0.22453,hammersmith-city,no,2,"Whitechapel Station,London Underground Ltd.,277 Whitechapel Rd,London,E1 1BY"
940GZZLUWPL,Whitechapel Underground Station,NaptanMetroStation,51.519518,-0.059971,hammersmith-city,yes,2,"Westbourne Park Station,London Underground Ltd.,Western Rd,London,W11 1AB"
940GZZLUWSP,Westbourne Park Underground Station,NaptanMetroStation,51.52111,-0.201065,hammersmith-city,,2,
