stationNaptan,stationName,stopType,lat,lon,line
940GZZLUBMY,Bermondsey Underground Station,NaptanMetroStation,51.497953,-0.063769,jubilee
940GZZLUBND,Bond Street Underground Station,NaptanMetroStation,51.514304,-0.149723,jubilee
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522883,-0.15713,jubilee
940GZZLUCGT,Canning Town Underground Station,NaptanMetroStation,51.513584,0.008322,jubilee
940GZZLUCPK,Canons Park Underground Station,NaptanMetroStation,51.607701,-0.294693,jubilee
940GZZLUCWR,Canada Water Underground Station,NaptanMetroStation,51.497945,-0.049722,jubilee
940GZZLUCYF,Canary Wharf Underground Station,NaptanMetroStation,51.503488,-0.018246,jubilee
940GZZLUDOH,Dollis Hill Underground Station,NaptanMetroStation,51.551955,-0.239068,jubilee
940GZZLUFYR,Finchley Road Underground Station,NaptanMetroStation,51.546825,-0.179845,jubilee
940GZZLUGPK,Green Park Underground Station,NaptanMetroStation,51.506947,-0.142787,jubilee
940GZZLUKBN,Kilburn Underground Station,NaptanMetroStation,51.546803,-0.204105,jubilee
940GZZLUKBY,Kingsbury Underground Station,NaptanMetroStation,51.584845,-0.27879,jubilee
940GZZLULNB,London Bridge Underground Station,NaptanMetroStation,51.505721,-0.088873,jubilee
940GZZLUNDN,Neasden Underground Station,NaptanMetroStation,51.553986,-0.249837,jubilee
940GZZLUNGW,North Greenwich Underground Station,NaptanMetroStation,51.50047,0.004287,jubilee
940GZZLUQBY,Queensbury Underground Station,NaptanMetroStation,51.594188,-0.286219,jubilee
940GZZLUSJW,St. John's Wood Underground Station,NaptanMetroStation,51.534521,-0.173948,jubilee
940GZZLUSTD,Stratford Underground Station,NaptanMetroStation,51.541806,-0.003458,jubilee
940GZZLUSTM,Stanmore Underground Station,NaptanMetroStation,51.619839,-0.303266,jubilee
940GZZLUSWC,Swiss Cottage Underground Station,NaptanMetroStation,51.543681,-0.174894,jubilee
940GZZLUSWK,Southwark Underground Station,NaptanMetroStation,51.503976,-0.10494,jubilee
940GZZLUWHM,West Ham Underground Station,NaptanMetroStation,51.528136,0.005055,jubilee
940GZZLUWHP,West Hampstead Underground Station,NaptanMetroStation,51.546638,-0.191059,jubilee
940GZZLUWIG,Willesden Green Underground Station,NaptanMetroStation,51.549146,-0.221537,jubilee
940GZZLUWLO,Waterloo Underground Station,NaptanMetroStation,51.503299,-0.11478,jubilee
940GZZLUWSM,Westminster Underground Station,NaptanMetroStation,51.50132,-0.124861,jubilee
940GZZLUWYP,Wembley Park Underground Station,NaptanMetroStation,51.563198,-0.279262,jubilee
