stationNaptan,stationName,stopType,lat,lon,line
940GZZLUALD,Aldgate Underground Station,NaptanMetroStation,51.514251,-0.075683,circle
940GZZLUBBN,Barbican Underground Station,NaptanMetroStation,51.52028,-0.097988,circle
940GZZLUBKF,Blackfriars Underground Station,NaptanMetroStation,51.511586,-0.103654,circle
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522888,-0.157127,circle
940GZZLUBWT,Bayswater Underground Station,NaptanMetroStation,51.512289,-0.187935,circle
940GZZLUCST,Cannon Street Underground Station,NaptanMetroStation,51.511515,-0.090426,circle
940GZZLUEMB,Embankment Underground Station,NaptanMetroStation,51.507062,-0.122662,circle
940GZZLUERC,Edgware Road (Circle Line) Underground Station,NaptanMetroStation,51.519863,-0.167829,circle
940GZZLUESQ,Euston Square Underground Station,NaptanMetroStation,51.525609,-0.135825,circle
940GZZLUFCN,Farringdon Underground Station,NaptanMetroStation,51.520257,-0.104908,circle
940GZZLUGHK,Goldhawk Road Underground Station,NaptanMetroStation,51.502009,-0.226714,circle
940GZZLUGPS,Great Portland Street Underground Station,NaptanMetroStation,51.523845,-0.144258,circle
940GZZLUGTR,Gloucester Road Underground Station,NaptanMetroStation,51.494321,-0.182655,circle
940GZZLUHSC,Hammersmith (H&C Line) Underground Station,NaptanMetroStation,51.493847,-0.225129,circle
940GZZLUHSK,High Street Kensington Underground Station,NaptanMetroStation,51.50106,-0.19279,circle
940GZZLUKSX,King's Cross St. Pancras Underground Station,NaptanMetroStation,51.530668,-0.12319,circle
940GZZLULAD,Ladbroke Grove Underground Station,NaptanMetroStation,51.517454,-0.210389,circle
940GZZLULRD,Latimer Road Underground Station,NaptanMetroStation,51.513394,-0.217797,circle
940GZZLULVT,Liverpool Street Underground Station,NaptanMetroStation,51.517377,-0.083176,circle
940GZZLUMGT,Moorgate Underground Station,NaptanMetroStation,51.51818,-0.088317,circle
940GZZLUMMT,Monument Underground Station,NaptanMetroStation,51.510705,-0.085964,circle
940GZZLUMSH,Mansion House Underground Station,NaptanMetroStation,51.512122,-0.094004,circle
940GZZLUNHG,Notting Hill Gate Underground Station,NaptanMetroStation,51.509132,-0.196102,circle
940GZZLUPAC,Paddington Underground Station,NaptanMetroStation,51.516586,-0.175686,circle
940GZZLUPAH,Paddington (H&C Line)-Underground,NaptanMetroStation,51.518192,-0.178303,circle
940GZZLURYO,Royal Oak Underground Station,NaptanMetroStation,51.519118,-0.188745,circle
940GZZLUSBM,Shepherd's Bush Market Underground Station,NaptanMetroStation,51.505583,-0.226373,circle
940GZZLUSJP,St. James's Park Underground Station,NaptanMetroStation,51.499548,-0.133604,circle
940GZZLUSKS,South Kensington Underground Station,NaptanMetroStation,51.494098,-0.174135,circle
940GZZLUSSQ,Sloane Square Underground Station,NaptanMetroStation,51.492274,-0.156374,circle
940GZZLUTMP,Temple Underground Station,NaptanMetroStation,51.51101,-0.114256,circle
940GZZLUTWH,Tower Hill Underground Station,NaptanMetroStation,51.509975,-0.07654,circle
940GZZLUVIC,Victoria Underground Station,NaptanMetroStation,51.496363,-0.143098,circle
940GZZLUWLA,Wood Lane Underground Station,NaptanMetroStation,51.509674,-0.224528,circle
940GZZLUWSM,Westminster Underground Station,NaptanMetroStation,51.501324,-0.124857,circle
940GZZLUWSP,Westbourne Park Underground Station,NaptanMetroStation,51.521115,-0.201063,circle
