stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZLUBMY,Bermondsey Underground Station,NaptanMetroStation,51.497957,-0.063762,jubilee,yes,2,"Bermondsey Station,London Underground Ltd.,142 - 154 Jamaica Rd,London,SE16 4RX"
940GZZLUBND,Bond Street Underground Station,NaptanMetroStation,51.514309,-0.149719,jubilee,no,1,"Bond Street Station,London Underground Ltd.,Oxford St,London,W1R 1FE"
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522888,-0.157127,jubilee,yes,1,"Baker Street Station Marylebone Rd,London,NW1"
940GZZLUCGT,Canning Town Underground Station,NaptanMetroStation,51.513588,0.00833,jubilee,yes,2/3,"Canning Town Station,London Underground Ltd.,Silvertown Way,Canning Town,London,E16 1DQ"
940GZZLUCPK,Canons Park Underground Station,NaptanMetroStation,51.6077,-0.294693,jubilee,yes,5,"Canons Park Station,London Underground Ltd.,Whitchurch Lane,Edgware,Middx,HA8 6RN"
940GZZLUCWR,Canada Water Underground Station,NaptanMetroStation,51.497949,-0.049715,jubilee,yes,2,"Canada Water Station,London Underground Ltd.,Deal Porter Way,Surrey Quays,London,SE16"
940GZZLUCYF,Canary Wharf Underground Station,NaptanMetroStation,51.503492,-0.018239,jubilee,yes,2,"Canary Wharf Station,London Underground Ltd.,Heron Quays Road,Canary Wharf,London,E14 4HJ"
940GZZLUDOH,Dollis Hill Underground Station,NaptanMetroStation,51.551961,-0.239066,jubilee,no,3,"Dollis Hill Station,London Underground Ltd.,Hamilton Rd,London,NW10 5NB"
940GZZLUFYR,Finchley Road Underground Station,NaptanMetroStation,51.54683,-0.179842,jubilee,no,2,"Finchley Road Underground Station,London Underground Ltd.,Finchley Road,London,NW3 6OP"
940GZZLUGPK,Green Park Underground Station,NaptanMetroStation,51.506951,-0.142783,jubilee,yes,1,"Green Park Station,London Underground Ltd.,Piccadilly,London,W1J 9DZ"
940GZZLUKBN,Kilburn Underground Station,NaptanMetroStation,51.546809,-0.204102,jubilee,yes,2,"Kilburn Station,London Underground Ltd.,Shootup Hill,London,NW6 7QL"
940GZZLUKBY,Kingsbury Underground Station,NaptanMetroStation,51.584852,-0.27879,jubilee,yes,4,"Kingsbury Station,London Underground Ltd.,Kingsbury Rd,London,NW9 9EG"
940GZZLULNB,London Bridge Underground Station,NaptanMetroStation,51.505725,-0.088867,jubilee,yes,1,"London Bridge Underground Station,London Underground Ltd.,21 Duke St Hill,London,SE1 2SW"
940GZZLUNDN,Neasden Underground Station,NaptanMetroStation,51.553992,-0.249836,jubilee,yes,3,"Neasden Station,London Underground Ltd.,Neasden Lane,London,NW10 1PH"
940GZZLUNGW,North Greenwich Underground Station,NaptanMetroStation,51.500474,0.004295,jubilee,yes,2+3,"North Greenwich Station,London Underground Ltd.,5 Millenium Way,London,SE10 0PH"
940GZZLUQBY,Queensbury Underground Station,NaptanMetroStation,51.594196,-0.286219,jubilee,yes,4,"Queensbury Station,London Underground Ltd.,Cumberland Rd,Harrow,Middx,HA8 5NP"
940GZZLUSJW,St. John's Wood Underground Station,NaptanMetroStation,51.534527,-0.173945,jubilee,yes,2,"St. John's Wood,London Underground Ltd.,Wellington Road,London,NW8 6DN"
940GZZLUSTD,Stratford Underground Station,NaptanMetroStation,51.541811,-0.00345,jubilee,yes,2/3,"Stratford Station BR Station St,London,E15 1DE"
940GZZLUSTM,Stanmore Underground Station,NaptanMetroStation,51.619838,-0.303267,jubilee,yes,5,"Stanmore Station,London Underground Ltd.,London Rd,Stanmore,Middx,HA7 4PD"
940GZZLUSWC,Swiss Cottage Underground Station,NaptanMetroStation,51.543687,-0.174891,jubilee,yes,2,"Swiss Cottage Station,London Underground Ltd.,Finchley Rd,London,NW3 6HY"
940GZZLUSWK,Southwark Underground Station,NaptanMetroStation,51.50398,-0.104935,jubilee,yes,1,"Southwark Station,London Underground Ltd.,68 - 70 Blackfriars Rd,London,SE1 8JZ"
940GZZLUWHM,West Ham Underground Station,NaptanMetroStation,51.528141,0.005063,jubilee,yes,2/3,"West Ham Underground Station,London Underground Ltd.,Manor Rd,London,E15 3BN"
940GZZLUWHP,West Hampstead Underground Station,NaptanMetroStation,51.546644,-0.191056,jubilee,yes,2,"West Hampstead Underground Station,London Underground Ltd.,West End Lane,London,NW6 2LS"
940GZZLUWIG,Willesden Green Underground Station,NaptanMetroStation,51.549151,-0.221535,jubilee,yes,2+3,"Willesden Green Station,London Underground Ltd.,Walm Lane,London,NW2 4QT"
940GZZLUWLO,Waterloo Underground Station,NaptanMetroStation,51.503303,-0.114776,jubilee,yes,1,"Waterloo Underground Station,London Underground Ltd.,York Rd,London,SE1 7ND"
940GZZLUWSM,Westminster Underground Station,NaptanMetroStation,51.501324,-0.124857,jubilee,yes,1,"Westminster Station,London Underground Ltd.,Bridge St,London,SW1A 2JR"
940GZZLUWYP,Wembley Park Underground Station,NaptanMetroStation,51.563204,-0.279261,jubilee,yes,4,"Wembley Park Station,London Underground Ltd.,Bridge Road,Wembley,Middlesex,HA9 9AA"
