stationNaptan,stationName,stopType,lat,lon,line
940GZZLUALD,Aldgate Underground Station,NaptanMetroStation,51.514251,-0.075683,metropolitan
940GZZLUAMS,Amersham Underground Station,NaptanMetroStation,51.674127,-0.607708,metropolitan
940GZZLUBBN,Barbican Underground Station,NaptanMetroStation,51.52028,-0.097988,metropolitan
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522888,-0.157127,metropolitan
940GZZLUCAL,Chalfont & Latimer Underground Station,NaptanMetroStation,51.667985,-0.560682,metropolitan
940GZZLUCSM,Chesham Underground Station,NaptanMetroStation,51.70521,-0.611241,metropolitan
940GZZLUCXY,Croxley Underground Station,NaptanMetroStation,51.647044,-0.441708,metropolitan
940GZZLUCYD,Chorleywood Underground Station,NaptanMetroStation,51.654359,-0.518453,metropolitan
940GZZLUEAE,Eastcote Underground Station,NaptanMetroStation,51.576504,-0.397376,metropolitan
940GZZLUESQ,Euston Square Underground Station,NaptanMetroStation,51.525609,-0.135825,metropolitan
940GZZLUFCN,Farringdon Underground Station,NaptanMetroStation,51.520257,-0.104908,metropolitan
940GZZLUFYR,Finchley Road Underground Station,NaptanMetroStation,51.54683,-0.179842,metropolitan
940GZZLUGPS,Great Portland Street Underground Station,NaptanMetroStation,51.523845,-0.144258,metropolitan
940GZZLUHGD,Hillingdon Underground Station,NaptanMetroStation,51.553712,-0.449818,metropolitan
940GZZLUHOH,Harrow-on-the-Hill Underground Station,NaptanMetroStation,51.579202,-0.337226,metropolitan
940GZZLUICK,Ickenham Underground Station,NaptanMetroStation,51.561989,-0.441991,metropolitan
940GZZLUKSX,King's Cross St. Pancras Underground Station,NaptanMetroStation,51.530668,-0.12319,metropolitan
940GZZLULVT,Liverpool Street Underground Station,NaptanMetroStation,51.517377,-0.083176,metropolitan
940GZZLUMGT,Moorgate Underground Station,NaptanMetroStation,51.51818,-0.088317,metropolitan
940GZZLUMPK,Moor Park Underground Station,NaptanMetroStation,51.629844,-0.432443,metropolitan
940GZZLUNHA,North Harrow Underground Station,NaptanMetroStation,51.58487,-0.36241,metropolitan
940GZZLUNKP,Northwick Park Underground Station,NaptanMetroStation,51.578488,-0.318057,metropolitan
940GZZLUNOW,Northwood Underground Station,NaptanMetroStation,51.611052,-0.423818,metropolitan
940GZZLUNWH,Northwood Hills Underground Station,NaptanMetroStation,51.60057,-0.409453,metropolitan
940GZZLUPNR,Pinner Underground Station,NaptanMetroStation,51.5929,-0.381164,metropolitan
940GZZLUPRD,Preston Road Underground Station,NaptanMetroStation,51.571979,-0.295107,metropolitan
940GZZLURKW,Rickmansworth Underground Station,NaptanMetroStation,51.640207,-0.473693,metropolitan
940GZZLURSM,Ruislip Manor Underground Station,NaptanMetroStation,51.5732,-0.412963,metropolitan
940GZZLURSP,Ruislip Underground Station,NaptanMetroStation,51.571351,-0.421887,metropolitan
940GZZLURYL,Rayners Lane Underground Station,NaptanMetroStation,51.575154,-0.37113,metropolitan
940GZZLUUXB,Uxbridge Underground Station,NaptanMetroStation,51.546563,-0.47794,metropolitan
940GZZLUWAF,Watford Underground Station,NaptanMetroStation,51.657446,-0.41738,metropolitan
940GZZLUWHW,West Harrow Underground Station,NaptanMetroStation,51.579717,-0.353401,metropolitan
940GZZLUWIG,Willesden Green Underground Station,NaptanMetroStation,51.549151,-0.221535,metropolitan
940GZZLUWYP,Wembley Park Underground Station,NaptanMetroStation,51.563204,-0.279261,metropolitan
