stationNaptan,stationName,stopType,lat,lon,line
910GBRTWOOD,Brentwood Rail Station,NaptanRailStation,51.613612,0.299588,tfl-rail
910GCHDWLHT,Chadwell Heath Rail Station,NaptanRailStation,51.568044,0.12897,tfl-rail
910GFRSTGT,Forest Gate Rail Station,NaptanRailStation,51.549437,0.024362,tfl-rail
910GGIDEAPK,Gidea Park Rail Station,NaptanRailStation,51.58191,0.205979,tfl-rail
910GGODMAYS,Goodmayes Rail Station,NaptanRailStation,51.565584,0.110819,tfl-rail
910GHRLDWOD,Harold Wood Rail Station,NaptanRailStation,51.592772,0.233144,tfl-rail
910GILFORD,Ilford Rail Station,NaptanRailStation,51.559123,0.06969,tfl-rail
910GLIVST,London Liverpool Street Rail Station,NaptanRailStation,51.517996,-0.08142,tfl-rail
910GMANRPK,Manor Park Rail Station,NaptanRailStation,51.552482,0.046351,tfl-rail
910GMRYLAND,Maryland Rail Station,NaptanRailStation,51.546087,0.005824,tfl-rail
910GROMFORD,Romford Rail Station,NaptanRailStation,51.574835,0.183251,tfl-rail
910GSHENFLD,Shenfield Rail Station,NaptanRailStation,51.630884,0.329855,tfl-rail
910GSTFD,Stratford (London) Rail Station,NaptanRailStation,51.5419,-0.003389,tfl-rail
910GSVNKNGS,Seven Kings Rail Station,NaptanRailStation,51.564032,0.097111,tfl-rail
