stationNaptan,stationName,stopType,lat,lon,line
940GZZLUBLR,Blackhorse Road Underground Station,NaptanMetroStation,51.586925,-0.041143,victoria
940GZZLUBXN,Brixton Underground Station,NaptanMetroStation,51.462621,-0.114884,victoria
940GZZLUEUS,Euston Underground Station,NaptanMetroStation,51.528349,-0.132296,victoria
940GZZLUFPK,Finsbury Park Underground Station,NaptanMetroStation,51.564164,-0.106819,victoria
940GZZLUGPK,Green Park Underground Station,NaptanMetroStation,51.506951,-0.142783,victoria
940GZZLUHAI,Highbury & Islington Underground Station,NaptanMetroStation,51.546355,-0.103319,victoria
940GZZLUKSX,King's Cross St. Pancras Underground Station,NaptanMetroStation,51.530668,-0.12319,victoria
940GZZLUOXC,Oxford Circus Underground Station,NaptanMetroStation,51.515228,-0.141899,victoria
940GZZLUPCO,Pimlico Underground Station,NaptanMetroStation,51.489101,-0.133757,victoria
940GZZLUSKW,Stockwell Underground Station,NaptanMetroStation,51.472188,-0.122639,victoria
940GZZLUSVS,Seven Sisters Underground Station,NaptanMetroStation,51.583336,-0.072577,victoria
940GZZLUTMH,Tottenham Hale Underground Station,NaptanMetroStation,51.588115,-0.060234,victoria
940GZZLUVIC,Victoria Underground Station,NaptanMetroStation,51.496363,-0.143098,victoria
940GZZLUVXL,Vauxhall Underground Station,NaptanMetroStation,51.485747,-0.1242,victoria
940GZZLUWRR,Warren Street Underground Station,NaptanMetroStation,51.524956,-0.138317,victoria
940GZZLUWWL,Walthamstow Central Underground Station,NaptanMetroStation,51.582971,-0.019877,victoria
