stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZLUADE,Aldgate East Underground Station,NaptanMetroStation,51.515042,-0.072378,hammersmith-city,yes,1,"Aldgate East Station,London Underground Ltd.,Whitechapel High St,London,E1 7PT"
940GZZLUBBB,Bromley-by-Bow Underground Station,NaptanMetroStation,51.524844,-0.011531,hammersmith-city,yes,2+3,"Bromley-By-Bow,London Underground Ltd.,Blackwell Tunnel Northern Approach,London,E3 3JJ"
940GZZLUBBN,Barbican Underground Station,NaptanMetroStation,51.52028,-0.097988,hammersmith-city,yes,1,"Barbican Station,London Underground Ltd.,Aldersgate St,London,EC1A 4JA"
940GZZLUBKG,Barking Underground Station,NaptanMetroStation,51.539326,0.081064,hammersmith-city,yes,4,"Barking Station BR Station Parade,Longbridge Rd,Barking,Essex,IG11 8TU"
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522888,-0.157127,hammersmith-city,yes,1,"Baker Street Station Marylebone Rd,London,NW1"
940GZZLUBWR,Bow Road Underground Station,NaptanMetroStation,51.526944,-0.025121,hammersmith-city,no,2,"Bow Road Station,London Underground Ltd.,Bow Road,London,E3 4DH"
940GZZLUEHM,East Ham Underground Station,NaptanMetroStation,51.538953,0.051195,hammersmith-city,yes,3+4,"East Ham Station,London Underground Ltd.,High Street North,London,E6 2JA"
940GZZLUERC,Edgware Road (Circle Line) Underground Station,NaptanMetroStation,51.519863,-0.167829,hammersmith-city,yes,1,"Edgware Road Circle,London Underground Ltd.,Chapel Street,London,NW1 5DH"
940GZZLUESQ,Euston Square Underground Station,NaptanMetroStation,51.525609,-0.135825,hammersmith-city,yes,1,"Euston Square Station,London Underground Ltd.,Euston Rd,London,NW1 2BN"
940GZZLUFCN,Farringdon Underground Station,NaptanMetroStation,51.520257,-0.104908,hammersmith-city,no,1,"Farringdon Station,London Underground Ltd.,Cowcross St,London,EC1M 6BY"
940GZZLUGHK,Goldhawk Road Underground Station,NaptanMetroStation,51.502009,-0.226714,hammersmith-city,yes,2,"Goldhawk Road Station,London Underground Ltd.,Goldhawk Rd,London,W12 8EG"
940GZZLUGPS,Great Portland Street Underground Station,NaptanMetroStation,51.523845,-0.144258,hammersmith-city,yes,1,"Great Portland Street Station,London Underground Ltd.,Euston Rd,London,NW1"
940GZZLUHSC,Hammersmith (H&C Line) Underground Station,NaptanMetroStation,51.493172,-0.224177,hammersmith-city,no,2,"Hammersmith (H & C),London Underground Ltd.,Beadon Road,London,W6 7AA"
940GZZLUKSX,King's Cross St. Pancras Underground Station,NaptanMetroStation,51.530668,-0.12319,hammersmith-city,yes,1,"King's Cross St. Pancras,London Underground Ltd.,Euston Road,London,N1 9AL"
940GZZLULAD,Ladbroke Grove Underground Station,NaptanMetroStation,51.517454,-0.210389,hammersmith-city,yes,2,"Ladbroke Grove Station,London Underground Ltd.,Ladbroke Grove,London,W10 6HJ"
940GZZLULRD,Latimer Road Underground Station,NaptanMetroStation,51.513394,-0.217797,hammersmith-city,yes,2,"Latimer Road Station,London Underground Ltd.,Bramley Rd,London,W10 6SZ"
940GZZLULVT,Liverpool Street Underground Station,NaptanMetroStation,51.517377,-0.083176,hammersmith-city,yes,1,"Liverpool Street Underground Station Central,London Underground Ltd.,Liverpool Street,London,EC2M 7PP"
940GZZLUMED,Mile End Underground Station,NaptanMetroStation,51.525127,-0.033633,hammersmith-city,yes,2,"Mile End Station,London Underground Ltd.,Mile End Rd,London,E3 4DH"
940GZZLUMGT,Moorgate Underground Station,NaptanMetroStation,51.51818,-0.088317,hammersmith-city,no,1,"Moorgate Station,London Underground Ltd.,Moorfields,London,EC2Y 9AE"
940GZZLUPAH,Paddington (H&C Line)-Underground,NaptanMetroStation,51.518192,-0.178303,hammersmith-city,yes,1,"Plaistow Station,London Underground Ltd.,Plaistow Rd,London,E15"
940GZZLUPLW,Plaistow Underground Station,NaptanMetroStation,51.531345,0.01746,hammersmith-city,yes,3,"Royal Oak Station,London Underground Ltd.,Lord Hills Bridge,London,W2 6ET"
940GZZLURYO,Royal Oak Underground Station,NaptanMetroStation,51.519118,-0.188745,hammersmith-city,yes,2,"Shepherd's Bush Market,London Underground Ltd.,Uxbridge Road,London,W12 7JD"
940GZZLUSBM,Shepherd's Bush Market Underground Station,NaptanMetroStation,51.505583,-0.226373,hammersmith-city,yes,2,"Stepney Green Station,London Underground Ltd.,Mile End Rd,London,E1 4AQ"
940GZZLUSGN,Stepney Green Underground Station,NaptanMetroStation,51.521863,-0.046589,hammersmith-city,yes,2,"Upton Park Station,London Underground Ltd.,Green St,London,E13 9AP"
940GZZLUUPK,Upton Park Underground Station,NaptanMetroStation,51.535345,0.035272,hammersmith-city,yes,3,"West Ham Underground Station,London Underground Ltd.,Manor Rd,London,E15 3BN"
940GZZLUWHM,West Ham Underground Station,NaptanMetroStation,51.528141,0.005063,hammersmith-city,yes,2/3,"Wood Lane Station,London Underground Ltd.,Wood Lane,London,"
940GZZLUWLA,Wood Lane Underground Station,NaptanMetroStation,51.509674,-0.224528,hammersmith-city,no,2,"Whitechapel Station,London Underground Ltd.,277 Whitechapel Rd,London,E1 1BY"
940GZZLUWPL,Whitechapel Underground Station,NaptanMetroStation,51.519522,-0.059965,hammersmith-city,yes,2,"Westbourne Park Station,London Underground Ltd.,Western Rd,London,W11 1AB"
940GZZLUWSP,Westbourne Park Underground Station,NaptanMetroStation,51.521115,-0.201063,hammersmith-city,,2,
