stationNaptan,stationName,stopType,lat,lon,line
940GZZLUBMY,Bermondsey Underground Station,NaptanMetroStation,51.497957,-0.063762,jubilee
940GZZLUBND,Bond Street Underground Station,NaptanMetroStation,51.514309,-0.149719,jubilee
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522888,-0.157127,jubilee
940GZZLUCGT,Canning Town Underground Station,NaptanMetroStation,51.513588,0.00833,jubilee
940GZZLUCPK,Canons Park Underground Station,NaptanMetroStation,51.6077,-0.294693,jubilee
940GZZLUCWR,Canada Water Underground Station,NaptanMetroStation,51.497949,-0.049715,jubilee
940GZZLUCYF,Canary Wharf Underground Station,NaptanMetroStation,51.503492,-0.018239,jubilee
940GZZLUDOH,Dollis Hill Underground Station,NaptanMetroStation,51.551961,-0.239066,jubilee
940GZZLUFYR,Finchley Road Underground Station,NaptanMetroStation,51.54683,-0.179842,jubilee
940GZZLUGPK,Green Park Underground Station,NaptanMetroStation,51.506951,-0.142783,jubilee
940GZZLUKBN,Kilburn Underground Station,NaptanMetroStation,51.546809,-0.204102,jubilee
940GZZLUKBY,Kingsbury Underground Station,NaptanMetroStation,51.584852,-0.27879,jubilee
940GZZLULNB,London Bridge Underground Station,NaptanMetroStation,51.505725,-0.088867,jubilee
940GZZLUNDN,Neasden Underground Station,NaptanMetroStation,51.553992,-0.249836,jubilee
940GZZLUNGW,North Greenwich Underground Station,NaptanMetroStation,51.500474,0.004295,jubilee
940GZZLUQBY,Queensbury Underground Station,NaptanMetroStation,51.594196,-0.286219,jubilee
940GZZLUSJW,St. John's Wood Underground Station,NaptanMetroStation,51.534527,-0.173945,jubilee
940GZZLUSTD,Stratford Underground Station,NaptanMetroStation,51.541811,-0.00345,jubilee
940GZZLUSTM,Stanmore Underground Station,NaptanMetroStation,51.619838,-0.303267,jubilee
940GZZLUSWC,Swiss Cottage Underground Station,NaptanMetroStation,51.543687,-0.174891,jubilee
940GZZLUSWK,Southwark Underground Station,NaptanMetroStation,51.50398,-0.104935,jubilee
940GZZLUWHM,West Ham Underground Station,NaptanMetroStation,51.528141,0.005063,jubilee
940GZZLUWHP,West Hampstead Underground Station,NaptanMetroStation,51.546644,-0.191056,jubilee
940GZZLUWIG,Willesden Green Underground Station,NaptanMetroStation,51.549151,-0.221535,jubilee
940GZZLUWLO,Waterloo Underground Station,NaptanMetroStation,51.503303,-0.114776,jubilee
940GZZLUWSM,Westminster Underground Station,NaptanMetroStation,51.501324,-0.124857,jubilee
940GZZLUWYP,Wembley Park Underground Station,NaptanMetroStation,51.563204,-0.279261,jubilee
