stationNaptan,stationName,stopType,lat,lon,line
940GZZLUACT,Acton Town Underground Station,NaptanMetroStation,51.503062,-0.280462,piccadilly
940GZZLUALP,Alperton Underground Station,NaptanMetroStation,51.540633,-0.29961,piccadilly
940GZZLUASG,Arnos Grove Underground Station,NaptanMetroStation,51.616454,-0.133058,piccadilly
940GZZLUASL,Arsenal Underground Station,NaptanMetroStation,51.558661,-0.107452,piccadilly
940GZZLUBDS,Bounds Green Underground Station,NaptanMetroStation,51.607042,-0.12423,piccadilly
940GZZLUBOS,Boston Manor Underground Station,NaptanMetroStation,51.495639,-0.324941,piccadilly
940GZZLUBSC,Barons Court Underground Station,NaptanMetroStation,51.490315,-0.213425,piccadilly
940GZZLUCAR,Caledonian Road Underground Station,NaptanMetroStation,51.548524,-0.118489,piccadilly
940GZZLUCGN,Covent Garden Underground Station,NaptanMetroStation,51.513098,-0.124431,piccadilly
940GZZLUCKS,Cockfosters Underground Station,NaptanMetroStation,51.651519,-0.149167,piccadilly
940GZZLUEAE,Eastcote Underground Station,NaptanMetroStation,51.576504,-0.397376,piccadilly
940GZZLUECM,Ealing Common Underground Station,NaptanMetroStation,51.510145,-0.288265,piccadilly
940GZZLUECT,Earl's Court Underground Station,NaptanMetroStation,51.492067,-0.193376,piccadilly
940GZZLUFPK,Finsbury Park Underground Station,NaptanMetroStation,51.564164,-0.106819,piccadilly
940GZZLUGPK,Green Park Underground Station,NaptanMetroStation,51.506951,-0.142783,piccadilly
940GZZLUGTR,Gloucester Road Underground Station,NaptanMetroStation,51.494321,-0.182655,piccadilly
940GZZLUHBN,Holborn Underground Station,NaptanMetroStation,51.517585,-0.12047,piccadilly
940GZZLUHGD,Hillingdon Underground Station,NaptanMetroStation,51.553712,-0.449818,piccadilly
940GZZLUHNX,Hatton Cross Underground Station,NaptanMetroStation,51.466751,-0.423181,piccadilly
940GZZLUHPC,Hyde Park Corner Underground Station,NaptanMetroStation,51.503039,-0.152438,piccadilly
940GZZLUHR4,Heathrow Terminal 4 Underground Station,NaptanMetroStation,51.458527,-0.445762,piccadilly
940GZZLUHR5,Heathrow Terminal 5 Underground Station,NaptanMetroStation,51.470056,-0.490552,piccadilly
940GZZLUHRC,Heathrow Terminals 1-2-3 Underground Station ,NaptanMetroStation,51.471239,-0.452256,piccadilly
940GZZLUHSD,Hammersmith (Dist&Picc Line) Underground Station,NaptanMetroStation,51.492304,-0.223619,piccadilly
940GZZLUHWC,Hounslow Central Underground Station,NaptanMetroStation,51.471299,-0.366581,piccadilly
940GZZLUHWE,Hounslow East Underground Station,NaptanMetroStation,51.473217,-0.356476,piccadilly
940GZZLUHWT,Hounslow West Underground Station,NaptanMetroStation,51.473473,-0.386533,piccadilly
940GZZLUHWY,Holloway Road Underground Station,NaptanMetroStation,51.552702,-0.113239,piccadilly
940GZZLUICK,Ickenham Underground Station,NaptanMetroStation,51.561989,-0.441991,piccadilly
940GZZLUKNB,Knightsbridge Underground Station,NaptanMetroStation,51.501673,-0.160504,piccadilly
940GZZLUKSX,King's Cross St. Pancras Underground Station,NaptanMetroStation,51.530668,-0.12319,piccadilly
940GZZLULSQ,Leicester Square Underground Station,NaptanMetroStation,51.51139,-0.128421,piccadilly
940GZZLUMRH,Manor House Underground Station,NaptanMetroStation,51.570744,-0.096113,piccadilly
940GZZLUNEN,North Ealing Underground Station,NaptanMetroStation,51.51751,-0.288868,piccadilly
940GZZLUNFD,Northfields Underground Station,NaptanMetroStation,51.499324,-0.31472,piccadilly
940GZZLUOAK,Oakwood Underground Station,NaptanMetroStation,51.647734,-0.132177,piccadilly
940GZZLUOSY,Osterley Underground Station,NaptanMetroStation,51.481278,-0.352226,piccadilly
940GZZLUPCC,Piccadilly Circus Underground Station,NaptanMetroStation,51.510055,-0.133794,piccadilly
940GZZLUPKR,Park Royal Underground Station,NaptanMetroStation,51.527129,-0.284341,piccadilly
940GZZLURSM,Ruislip Manor Underground Station,NaptanMetroStation,51.5732,-0.412963,piccadilly
940GZZLURSP,Ruislip Underground Station,NaptanMetroStation,51.571351,-0.421887,piccadilly
940GZZLURSQ,Russell Square Underground Station,NaptanMetroStation,51.523077,-0.124281,piccadilly
940GZZLURYL,Rayners Lane Underground Station,NaptanMetroStation,51.575154,-0.37113,piccadilly
940GZZLUSEA,South Ealing Underground Station,NaptanMetroStation,51.501008,-0.307425,piccadilly
940GZZLUSGT,Southgate Underground Station,NaptanMetroStation,51.632323,-0.127811,piccadilly
940GZZLUSHH,South Harrow Underground Station,NaptanMetroStation,51.564894,-0.352494,piccadilly
940GZZLUSKS,South Kensington Underground Station,NaptanMetroStation,51.494098,-0.174135,piccadilly
940GZZLUSUH,Sudbury Hill Underground Station,NaptanMetroStation,51.556952,-0.336437,piccadilly
940GZZLUSUT,Sudbury Town Underground Station,NaptanMetroStation,51.550821,-0.315746,piccadilly
940GZZLUTNG,Turnham Green Underground Station,NaptanMetroStation,51.495152,-0.254554,piccadilly
940GZZLUTPN,Turnpike Lane Underground Station,NaptanMetroStation,51.590279,-0.102947,piccadilly
940GZZLUUXB,Uxbridge Underground Station,NaptanMetroStation,51.546563,-0.47794,piccadilly
940GZZLUWOG,Wood Green Underground Station,NaptanMetroStation,51.597486,-0.109881,piccadilly
