stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZLUACT,Acton Town Underground Station,NaptanMetroStation,51.503062,-0.280462,piccadilly,yes,3,"Acton Town Station,London Underground Ltd.,Gunnersbury Lane,London,W3 8HN"
940GZZLUALP,Alperton Underground Station,NaptanMetroStation,51.540633,-0.29961,piccadilly,yes,4,"Alperton Station,London Underground Ltd.,Ealing Rd,Wembley,Middlesex,HA0 4LL"
940GZZLUASG,Arnos Grove Underground Station,NaptanMetroStation,51.616454,-0.133058,piccadilly,yes,4,"Arnos Grove Station,London Underground Ltd.,Bowes Rd,London,N11 1AN"
940GZZLUASL,Arsenal Underground Station,NaptanMetroStation,51.558661,-0.107452,piccadilly,yes,2,"Arsenal Station,London Underground Ltd.,Highbury Hill,London,N5 1LP"
940GZZLUBDS,Bounds Green Underground Station,NaptanMetroStation,51.607042,-0.12423,piccadilly,yes,3+4,"Bounds Green Station,London Underground Ltd.,Bounds Green Rd,London,N11 2EU"
940GZZLUBOS,Boston Manor Underground Station,NaptanMetroStation,51.495639,-0.324941,piccadilly,yes,4,"Boston Manor Station,London Underground Ltd.,Boston Manor Rd,Brentford,Middx,TW8 9LQ"
940GZZLUBSC,Barons Court Underground Station,NaptanMetroStation,51.490315,-0.213425,piccadilly,yes,2,"Barons Court Station,London Underground Ltd.,Pallister Rd,London,W14"
940GZZLUCAR,Caledonian Road Underground Station,NaptanMetroStation,51.548524,-0.118489,piccadilly,yes,2,"Caledonian Road Underground Station,London Underground Ltd.,Caledonian Rd,London,N7 9BA"
940GZZLUCGN,Covent Garden Underground Station,NaptanMetroStation,51.513098,-0.124431,piccadilly,yes,1,"Covent Garden Station,London Underground Ltd.,Long Acre,London,WC2E 9JT"
940GZZLUCKS,Cockfosters Underground Station,NaptanMetroStation,51.651519,-0.149167,piccadilly,yes,5,"Cockfosters Station,London Underground Ltd.,Cockfosters Rd,Barnet,Herts,EN4 0DZ"
940GZZLUEAE,Eastcote Underground Station,NaptanMetroStation,51.576504,-0.397376,piccadilly,no,5,"Eastcote Station,London Underground Ltd.,Field End Rd,Ruislip,Middx,HA5 1QZ"
940GZZLUECM,Ealing Common Underground Station,NaptanMetroStation,51.510145,-0.288265,piccadilly,yes,3,"Ealing Common Station,London Underground Ltd.,Uxbridge Rd,London,W5 3LD"
940GZZLUECT,Earl's Court Underground Station,NaptanMetroStation,51.492067,-0.193376,piccadilly,yes,1+2,"Earl's Court Station,London Underground Ltd.,Earl's Court Rd,London,SW5 9QA"
940GZZLUFPK,Finsbury Park Underground Station,NaptanMetroStation,51.564164,-0.106819,piccadilly,yes,2,"Finsbury Park Underground Station,London Underground Ltd.,Wells Terrace,London,N4 3JU"
940GZZLUGPK,Green Park Underground Station,NaptanMetroStation,51.506951,-0.142783,piccadilly,yes,1,"Green Park Station,London Underground Ltd.,Piccadilly,London,W1J 9DZ"
940GZZLUGTR,Gloucester Road Underground Station,NaptanMetroStation,51.494321,-0.182655,piccadilly,yes,1,"Gloucester Road Station,London Underground Ltd.,Gloucester Rd,London,SW7 4SF"
940GZZLUHBN,Holborn Underground Station,NaptanMetroStation,51.517585,-0.12047,piccadilly,yes,1,"Holborn Station,London Underground Ltd.,Kingsway,London,WC2B 6AA"
940GZZLUHGD,Hillingdon Underground Station,NaptanMetroStation,51.553712,-0.449818,piccadilly,yes,6,"Hillingdon Station,London Underground Ltd.,Long Lane,Hillingdon,Uxbridge,Middlesex,UB10 9NR"
940GZZLUHNX,Hatton Cross Underground Station,NaptanMetroStation,51.466751,-0.423181,piccadilly,yes,5+6,"Hatton Cross Station,London Underground Ltd.,Great South West Rd,Feltham,Middx,"
940GZZLUHPC,Hyde Park Corner Underground Station,NaptanMetroStation,51.503039,-0.152438,piccadilly,yes,1,"Hyde Park Corner Station,London Underground Ltd.,Knightsbridge,London,SW1X 7LY"
940GZZLUHR4,Heathrow Terminal 4 Underground Station,NaptanMetroStation,51.458527,-0.445762,piccadilly,yes,6,"Heathrow T4 Station,London Underground Ltd.,Hthrw Airport complex,Trmnl 4,Hounslow,Middx"
940GZZLUHR5,Heathrow Terminal 5 Underground Station,NaptanMetroStation,51.470056,-0.490552,piccadilly,no,6,"Heathrow T5 Station,London Underground Ltd.,Hthrw Airport complex,Trmnl 5,Hounslow,Middx"
940GZZLUHRC,Heathrow Terminals 1-2-3 Underground Station ,NaptanMetroStation,51.471239,-0.452256,piccadilly,yes,6,"Heathrow Terminals 1, 2, 3,London Underground Ltd.,Wellington Road,Hounslow,Middlesex,TW6 1JH"
940GZZLUHSD,Hammersmith (Dist&Picc Line) Underground Station,NaptanMetroStation,51.492304,-0.223619,piccadilly,yes,2,"Hammersmith (D & P),London Underground Ltd.,Hammersmith Broadway,London,W6 8AB"
940GZZLUHWC,Hounslow Central Underground Station,NaptanMetroStation,51.471299,-0.366581,piccadilly,yes,4,"Hounslow Central Station,London Underground Ltd.,Lampton Rd,Hounslow,Middx,TW3 1JG"
