stationNaptan,stationName,stopType,lat,lon,line
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522888,-0.157127,bakerloo
940GZZLUCHX,Charing Cross Underground Station,NaptanMetroStation,51.507415,-0.127273,bakerloo
940GZZLUEAC,Elephant & Castle Underground Station,NaptanMetroStation,51.49454,-0.100601,bakerloo
940GZZLUEMB,Embankment Underground Station,NaptanMetroStation,51.507062,-0.122662,bakerloo
940GZZLUERB,Edgware Road (Bakerloo) Underground Station,NaptanMetroStation,51.520304,-0.170147,bakerloo
940GZZLUHAW,Harrow & Wealdstone Underground Station,NaptanMetroStation,51.592266,-0.335219,bakerloo
940GZZLUHSN,Harlesden Underground Station,NaptanMetroStation,51.536316,-0.257882,bakerloo
940GZZLUKEN,Kenton Underground Station,NaptanMetroStation,51.581763,-0.316911,bakerloo
940GZZLUKPK,Kilburn Park Underground Station,NaptanMetroStation,51.534985,-0.194229,bakerloo
940GZZLUKSL,Kensal Green Underground Station,NaptanMetroStation,51.530544,-0.225014,bakerloo
940GZZLULBN,Lambeth North Underground Station,NaptanMetroStation,51.498812,-0.11231,bakerloo
940GZZLUMVL,Maida Vale Underground Station,NaptanMetroStation,51.529782,-0.185756,bakerloo
940GZZLUMYB,Marylebone Underground Station,NaptanMetroStation,51.522327,-0.163204,bakerloo
940GZZLUNWY,North Wembley Underground Station,NaptanMetroStation,51.562558,-0.304,bakerloo
940GZZLUOXC,Oxford Circus Underground Station,NaptanMetroStation,51.515228,-0.141899,bakerloo
940GZZLUPAC,Paddington Underground Station,NaptanMetroStation,51.516586,-0.175686,bakerloo
940GZZLUPCC,Piccadilly Circus Underground Station,NaptanMetroStation,51.510055,-0.133794,bakerloo
940GZZLUQPS,Queen's Park Underground Station,NaptanMetroStation,51.534163,-0.204571,bakerloo
940GZZLURGP,Regent's Park Underground Station,NaptanMetroStation,51.523349,-0.146441,bakerloo
940GZZLUSGP,Stonebridge Park Underground Station,NaptanMetroStation,51.543965,-0.275891,bakerloo
940GZZLUSKT,South Kenton Underground Station,NaptanMetroStation,51.570238,-0.308433,bakerloo
940GZZLUWJN,Willesden Junction Underground Station,NaptanMetroStation,51.532264,-0.244282,bakerloo
940GZZLUWKA,Warwick Avenue Underground Station,NaptanMetroStation,51.523268,-0.18378,bakerloo
940GZZLUWLO,Waterloo Underground Station,NaptanMetroStation,51.503303,-0.114776,bakerloo
940GZZLUWYC,Wembley Central Underground Station,NaptanMetroStation,51.55231,-0.296852,bakerloo
