stationNaptan,stationName,stopType,lat,lon,line
940GZZLUACT,Acton Town Underground Station,NaptanMetroStation,51.503062,-0.280462,district
940GZZLUADE,Aldgate East Underground Station,NaptanMetroStation,51.515042,-0.072378,district
940GZZLUBBB,Bromley-by-Bow Underground Station,NaptanMetroStation,51.524844,-0.011531,district
940GZZLUBEC,Becontree Underground Station,NaptanMetroStation,51.540336,0.127028,district
940GZZLUBKF,Blackfriars Underground Station,NaptanMetroStation,51.511586,-0.103654,district
940GZZLUBKG,Barking Underground Station,NaptanMetroStation,51.539326,0.081064,district
940GZZLUBSC,Barons Court Underground Station,NaptanMetroStation,51.490315,-0.213425,district
940GZZLUBWR,Bow Road Underground Station,NaptanMetroStation,51.526944,-0.025121,district
940GZZLUBWT,Bayswater Underground Station,NaptanMetroStation,51.512289,-0.187935,district
940GZZLUCST,Cannon Street Underground Station,NaptanMetroStation,51.511515,-0.090426,district
940GZZLUCWP,Chiswick Park Underground Station,NaptanMetroStation,51.494632,-0.267972,district
940GZZLUDGE,Dagenham East Underground Station,NaptanMetroStation,51.544101,0.166029,district
940GZZLUDGY,Dagenham Heathway Underground Station,NaptanMetroStation,51.541644,0.147539,district
940GZZLUEBY,Ealing Broadway Underground Station,NaptanMetroStation,51.515022,-0.301457,district
940GZZLUECM,Ealing Common Underground Station,NaptanMetroStation,51.510145,-0.288265,district
940GZZLUECT,Earl's Court Underground Station,NaptanMetroStation,51.492067,-0.193376,district
940GZZLUEHM,East Ham Underground Station,NaptanMetroStation,51.538953,0.051195,district
940GZZLUEMB,Embankment Underground Station,NaptanMetroStation,51.507062,-0.122662,district
940GZZLUEPK,Elm Park Underground Station,NaptanMetroStation,51.54978,0.198654,district
940GZZLUEPY,East Putney Underground Station,NaptanMetroStation,51.459208,-0.210998,district
940GZZLUERC,Edgware Road (Circle Line) Underground Station,NaptanMetroStation,51.519863,-0.167829,district
940GZZLUFBY,Fulham Broadway Underground Station,NaptanMetroStation,51.480084,-0.195419,district
940GZZLUGBY,Gunnersbury Underground Station,NaptanMetroStation,51.491808,-0.275267,district
940GZZLUGTR,Gloucester Road Underground Station,NaptanMetroStation,51.494321,-0.182655,district
940GZZLUHCH,Hornchurch Underground Station,NaptanMetroStation,51.554098,0.219131,district
940GZZLUHSD,Hammersmith (Dist&Picc Line) Underground Station,NaptanMetroStation,51.492304,-0.223619,district
940GZZLUHSK,High Street Kensington Underground Station,NaptanMetroStation,51.50106,-0.19279,district
940GZZLUKOY,Kensington (Olympia) Underground Station,NaptanMetroStation,51.497628,-0.210013,district
940GZZLUKWG,Kew Gardens Underground Station,NaptanMetroStation,51.477062,-0.285242,district
940GZZLUMED,Mile End Underground Station,NaptanMetroStation,51.525127,-0.033633,district
940GZZLUMMT,Monument Underground Station,NaptanMetroStation,51.510705,-0.085964,district
940GZZLUMSH,Mansion House Underground Station,NaptanMetroStation,51.512122,-0.094004,district
940GZZLUNHG,Notting Hill Gate Underground Station,NaptanMetroStation,51.509132,-0.196102,district
940GZZLUPAC,Paddington Underground Station,NaptanMetroStation,51.516586,-0.175686,district
940GZZLUPLW,Plaistow Underground Station,NaptanMetroStation,51.531345,0.01746,district
940GZZLUPSG,Parsons Green Underground Station,NaptanMetroStation,51.475281,-0.201168,district
940GZZLUPYB,Putney Bridge Underground Station,NaptanMetroStation,51.468265,-0.208729,district
940GZZLURMD,Richmond Underground Station,NaptanMetroStation,51.463241,-0.301337,district
940GZZLURVP,Ravenscourt Park Underground Station,NaptanMetroStation,51.494126,-0.23588,district
940GZZLUSFB,Stamford Brook Underground Station,NaptanMetroStation,51.494921,-0.245703,district
940GZZLUSFS,Southfields Underground Station,NaptanMetroStation,51.445076,-0.2066,district
940GZZLUSGN,Stepney Green Underground Station,NaptanMetroStation,51.521863,-0.046589,district
940GZZLUSJP,St. James's Park Underground Station,NaptanMetroStation,51.499548,-0.133604,district
940GZZLUSKS,South Kensington Underground Station,NaptanMetroStation,51.494098,-0.174135,district
940GZZLUSSQ,Sloane Square Underground Station,NaptanMetroStation,51.492274,-0.156374,district
940GZZLUTMP,Temple Underground Station,NaptanMetroStation,51.51101,-0.114256,district
940GZZLUTNG,Turnham Green Underground Station,NaptanMetroStation,51.495152,-0.254554,district
940GZZLUTWH,Tower Hill Underground Station,NaptanMetroStation,51.509975,-0.07654,district
940GZZLUUPB,Upminster Bridge Underground Station,NaptanMetroStation,51.558565,0.235824,district
940GZZLUUPK,Upton Park Underground Station,NaptanMetroStation,51.535345,0.035272,district
940GZZLUUPM,Upminster Underground Station,NaptanMetroStation,51.559068,0.250897,district
940GZZLUUPY,Upney Underground Station,NaptanMetroStation,51.538376,0.101541,district
940GZZLUVIC,Victoria Underground Station,NaptanMetroStation,51.496363,-0.143098,district
940GZZLUWBN,West Brompton Underground Station,NaptanMetroStation,51.487272,-0.195597,district
940GZZLUWHM,West Ham Underground Station,NaptanMetroStation,51.528141,0.005063,district
940GZZLUWIM,Wimbledon Underground Station,NaptanMetroStation,51.421209,-0.206571,district
940GZZLUWIP,Wimbledon Park Underground Station,NaptanMetroStation,51.434575,-0.199717,district
940GZZLUWKN,West Kensington Underground Station,NaptanMetroStation,51.490463,-0.206635,district
940GZZLUWPL,Whitechapel Underground Station,NaptanMetroStation,51.519522,-0.059965,district
940GZZLUWSM,Westminster Underground Station,NaptanMetroStation,51.501324,-0.124857,district
