stationNaptan,stationName,stopType,lat,lon,line
940GZZLUADE,Aldgate East Underground Station,NaptanMetroStation,51.515042,-0.072378,hammersmith-city
940GZZLUBBB,Bromley-by-Bow Underground Station,NaptanMetroStation,51.524844,-0.011531,hammersmith-city
940GZZLUBBN,Barbican Underground Station,NaptanMetroStation,51.52028,-0.097988,hammersmith-city
940GZZLUBKG,Barking Underground Station,NaptanMetroStation,51.539326,0.081064,hammersmith-city
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522888,-0.157127,hammersmith-city
940GZZLUBWR,Bow Road Underground Station,NaptanMetroStation,51.526944,-0.025121,hammersmith-city
940GZZLUEHM,East Ham Underground Station,NaptanMetroStation,51.538953,0.051195,hammersmith-city
940GZZLUERC,Edgware Road (Circle Line) Underground Station,NaptanMetroStation,51.519863,-0.167829,hammersmith-city
940GZZLUESQ,Euston Square Underground Station,NaptanMetroStation,51.525609,-0.135825,hammersmith-city
940GZZLUFCN,Farringdon Underground Station,NaptanMetroStation,51.520257,-0.104908,hammersmith-city
940GZZLUGHK,Goldhawk Road Underground Station,NaptanMetroStation,51.502009,-0.226714,hammersmith-city
940GZZLUGPS,Great Portland Street Underground Station,NaptanMetroStation,51.523845,-0.144258,hammersmith-city
940GZZLUHSC,Hammersmith (H&C Line) Underground Station,NaptanMetroStation,51.493847,-0.225129,hammersmith-city
940GZZLUKSX,King's Cross St. Pancras Underground Station,NaptanMetroStation,51.530668,-0.12319,hammersmith-city
940GZZLULAD,Ladbroke Grove Underground Station,NaptanMetroStation,51.517454,-0.210389,hammersmith-city
940GZZLULRD,Latimer Road Underground Station,NaptanMetroStation,51.513394,-0.217797,hammersmith-city
940GZZLULVT,Liverpool Street Underground Station,NaptanMetroStation,51.517377,-0.083176,hammersmith-city
940GZZLUMED,Mile End Underground Station,NaptanMetroStation,51.525127,-0.033633,hammersmith-city
940GZZLUMGT,Moorgate Underground Station,NaptanMetroStation,51.51818,-0.088317,hammersmith-city
940GZZLUPAH,Paddington (H&C Line)-Underground,NaptanMetroStation,51.518192,-0.178303,hammersmith-city
940GZZLUPLW,Plaistow Underground Station,NaptanMetroStation,51.531345,0.01746,hammersmith-city
940GZZLURYO,Royal Oak Underground Station,NaptanMetroStation,51.519118,-0.188745,hammersmith-city
940GZZLUSBM,Shepherd's Bush Market Underground Station,NaptanMetroStation,51.505583,-0.226373,hammersmith-city
940GZZLUSGN,Stepney Green Underground Station,NaptanMetroStation,51.521863,-0.046589,hammersmith-city
940GZZLUUPK,Upton Park Underground Station,NaptanMetroStation,51.535345,0.035272,hammersmith-city
940GZZLUWHM,West Ham Underground Station,NaptanMetroStation,51.528141,0.005063,hammersmith-city
940GZZLUWLA,Wood Lane Underground Station,NaptanMetroStation,51.509674,-0.224528,hammersmith-city
940GZZLUWPL,Whitechapel Underground Station,NaptanMetroStation,51.519522,-0.059965,hammersmith-city
940GZZLUWSP,Westbourne Park Underground Station,NaptanMetroStation,51.521115,-0.201063,hammersmith-city
