stationNaptan,stationName,stopType,lat,lon,line
910GACTNCTL,Acton Central Rail Station,NaptanRailStation,51.508721,-0.26297,london-overground
910GANERLEY,Anerley Rail Station,NaptanRailStation,51.412155,-0.06588,london-overground
910GBARKING,Barking Rail Station,NaptanRailStation,51.5395,0.080913,london-overground
910GBHILLPK,Bush Hill Park Rail Station,NaptanRailStation,51.641441,-0.068314,london-overground
910GBLCHSRD,Blackhorse Road Rail Station,NaptanRailStation,51.586612,-0.041228,london-overground
910GBRBY,Brondesbury Rail Station,NaptanRailStation,51.545171,-0.202306,london-overground
910GBRBYPK,Brondesbury Park Rail Station,NaptanRailStation,51.540705,-0.210125,london-overground
910GBROCKLY,Brockley Rail Station,NaptanRailStation,51.464652,-0.03753,london-overground
910GBRUCGRV,Bruce Grove Rail Station,NaptanRailStation,51.593966,-0.069861,london-overground
910GBTHNLGR,Bethnal Green Rail Station,NaptanRailStation,51.523922,-0.059562,london-overground
910GBUSHYDC,Bushey Rail Station,NaptanRailStation,51.645751,-0.385324,london-overground
910GCAMHTH,Cambridge Heath (London) Rail Station,NaptanRailStation,51.531978,-0.057273,london-overground
910GCHESHNT,Cheshunt Rail Station,NaptanRailStation,51.702877,-0.023952,london-overground
910GCHINGFD,Chingford Rail Station,NaptanRailStation,51.633094,0.009906,london-overground
910GCLAPTON,Clapton Rail Station,NaptanRailStation,51.56165,-0.057018,london-overground
910GCLDNNRB,Caledonian Road & Barnsbury Rail Station,NaptanRailStation,51.543046,-0.116724,london-overground
910GCLPHHS,Clapham High Street Rail Station,NaptanRailStation,51.465566,-0.132216,london-overground
910GCLPHMJ1,Clapham Junction Rail Station,NaptanRailStation,51.46419,-0.170219,london-overground
910GCMDNRD,Camden Road Rail Station,NaptanRailStation,51.541796,-0.138697,london-overground
910GCNDAW,Canada Water Rail Station,NaptanRailStation,51.497994,-0.049713,london-overground
910GCNNB,Canonbury Rail Station,NaptanRailStation,51.548738,-0.092185,london-overground
910GCROUCHH,Crouch Hill Rail Station,NaptanRailStation,51.571308,-0.117144,london-overground
910GCRPNDPK,Carpenders Park Rail Station,NaptanRailStation,51.628351,-0.385942,london-overground
910GCRYSTLP,Crystal Palace Rail Station,NaptanRailStation,51.418111,-0.072605,london-overground
910GCSEAH,Imperial Wharf Rail Station,NaptanRailStation,51.474953,-0.18282,london-overground
910GDALS,Dalston Junction Rail Station,NaptanRailStation,51.546121,-0.075131,london-overground
910GDALSKLD,Dalston Kingsland Rail Station,NaptanRailStation,51.548154,-0.075695,london-overground
910GDENMRKH,Denmark Hill Rail Station,NaptanRailStation,51.468206,-0.089356,london-overground
910GEDMNGRN,Edmonton Green Rail Station,NaptanRailStation,51.624936,-0.061106,london-overground
910GEMRSPKH,Emerson Park Rail Station,NaptanRailStation,51.568648,0.220128,london-overground
910GENFLDTN,Enfield Town Rail Station,NaptanRailStation,51.652034,-0.079321,london-overground
910GEUSTON,London Euston Rail Station,NaptanRailStation,51.528141,-0.133919,london-overground
910GFNCHLYR,Finchley Road & Frognal Rail Station,NaptanRailStation,51.550272,-0.183138,london-overground
910GFORESTH,Forest Hill Rail Station,NaptanRailStation,51.439282,-0.053151,london-overground
910GGNRSBRY,Gunnersbury Rail Station,NaptanRailStation,51.491682,-0.275286,london-overground
910GGOSPLOK,Gospel Oak Rail Station,NaptanRailStation,51.555341,-0.150766,london-overground
910GHACKNYC,Hackney Central Rail Station,NaptanRailStation,51.54711,-0.056051,london-overground
910GHACKNYW,Hackney Wick Rail Station,NaptanRailStation,51.543416,-0.024912,london-overground
910GHAGGERS,Haggerston Rail Station,NaptanRailStation,51.538711,-0.075661,london-overground
910GHAKNYNM,Hackney Downs Rail Station,NaptanRailStation,51.548763,-0.060813,london-overground
910GHARLSDN,Harlesden Rail Station,NaptanRailStation,51.536295,-0.257667,london-overground
910GHEDSTNL,Headstone Lane Rail Station,NaptanRailStation,51.602648,-0.357222,london-overground
910GHGHI,Highbury & Islington Rail Station,NaptanRailStation,51.546183,-0.103758,london-overground
910GHGHMSPK,Highams Park Rail Station,NaptanRailStation,51.608357,-0.000214,london-overground
910GHMPSTDH,Hampstead Heath Rail Station,NaptanRailStation,51.555216,-0.165702,london-overground
910GHOMRTON,Homerton Rail Station,NaptanRailStation,51.547017,-0.042353,london-overground
910GHONROPK,Honor Oak Park Rail Station,NaptanRailStation,51.449992,-0.045499,london-overground
910GHOXTON,Hoxton Rail Station,NaptanRailStation,51.531517,-0.075676,london-overground
910GHRGYGL,Harringay Green Lanes Rail Station,NaptanRailStation,51.577189,-0.098138,london-overground
910GHROW,Harrow & Wealdstone Rail Station,NaptanRailStation,51.592167,-0.334573,london-overground
910GHTCHEND,Hatch End Rail Station,NaptanRailStation,51.609416,-0.368604,london-overground
910GKENOLYM,Kensington (Olympia) Rail Station,NaptanRailStation,51.497903,-0.210362,london-overground
910GKENR,Kensal Rise Rail Station,NaptanRailStation,51.534559,-0.219955,london-overground
910GKENSLG,Kensal Green Rail Station,NaptanRailStation,51.530546,-0.225086,london-overground
910GKEWGRDN,Kew Gardens Rail Station,NaptanRailStation,51.477077,-0.285054,london-overground
910GKLBRNHR,Kilburn High Road Rail Station,NaptanRailStation,51.537283,-0.192235,london-overground
910GKNTSHTW,Kentish Town West Rail Station,NaptanRailStation,51.546553,-0.146651,london-overground
910GKTON,Kenton Rail Station,NaptanRailStation,51.581809,-0.316981,london-overground
910GLEYTNMR,Leyton Midland Road Rail Station,NaptanRailStation,51.569731,-0.008042,london-overground
910GLIVST,London Liverpool Street Rail Station,NaptanRailStation,51.517996,-0.08142,london-overground
910GLONFLDS,London Fields Rail Station,NaptanRailStation,51.541158,-0.057747,london-overground
910GLYTNSHR,Leytonstone High Road Rail Station,NaptanRailStation,51.56356,0.008425,london-overground
910GNEWXGTE,New Cross Gate Rail Station,NaptanRailStation,51.475132,-0.040392,london-overground
910GNORWDJ,Norwood Junction Rail Station,NaptanRailStation,51.39702,-0.075216,london-overground
910GNWCRELL,New Cross ELL Rail Station,NaptanRailStation,51.476347,-0.032434,london-overground
910GNWEMBLY,North Wembley Rail Station,NaptanRailStation,51.562602,-0.303984,london-overground
910GPCKHMQD,Queens Road Peckham Rail Station,NaptanRailStation,51.47357,-0.057307,london-overground
910GPCKHMRY,Peckham Rye Rail Station,NaptanRailStation,51.470037,-0.069409,london-overground
910GPENEW,Penge West Rail Station,NaptanRailStation,51.417557,-0.060834,london-overground
910GQPRK,Queens Park (London) Rail Station,NaptanRailStation,51.533972,-0.204983,london-overground
910GRCTRYRD,Rectory Road Rail Station,NaptanRailStation,51.558508,-0.068261,london-overground
910GRICHMND,Richmond (London) Rail Station,NaptanRailStation,51.463064,-0.301559,london-overground
910GROMFORD,Romford Rail Station,NaptanRailStation,51.574835,0.183251,london-overground
910GRTHERHI,Rotherhithe Rail Station,NaptanRailStation,51.500821,-0.052042,london-overground
910GSACTON,South Acton Rail Station,NaptanRailStation,51.4997,-0.270157,london-overground
910GSBURY,Southbury Rail Station,NaptanRailStation,51.648713,-0.05243,london-overground
910GSEVNSIS,Seven Sisters Rail Station,NaptanRailStation,51.582274,-0.075264,london-overground
910GSHADWEL,Shadwell Rail Station,NaptanRailStation,51.511288,-0.056928,london-overground
910GSHMPSTD,South Hampstead Rail Station,NaptanRailStation,51.541438,-0.178875,london-overground
910GSHPDSB,Shepherds Bush Rail Station,NaptanRailStation,51.505289,-0.217652,london-overground
910GSHRDHST,Shoreditch High Street Rail Station,NaptanRailStation,51.52338,-0.07524,london-overground
910GSIVRST,Silver Street Rail Station,NaptanRailStation,51.614696,-0.067233,london-overground
910GSKENTON,South Kenton Rail Station,NaptanRailStation,51.570221,-0.308463,london-overground
910GSTFD,Stratford (London) Rail Station,NaptanRailStation,51.5419,-0.003389,london-overground
910GSTJMSST,St James Street (London) Rail Station,NaptanRailStation,51.580987,-0.032911,london-overground
910GSTKNWNG,Stoke Newington Rail Station,NaptanRailStation,51.565239,-0.072881,london-overground
910GSTMFDHL,Stamford Hill Rail Station,NaptanRailStation,51.574474,-0.076676,london-overground
910GSTNBGPK,Stonebridge Park Rail Station,NaptanRailStation,51.544117,-0.275828,london-overground
910GSTOTNHM,South Tottenham Rail Station,NaptanRailStation,51.580379,-0.072096,london-overground
910GSURREYQ,Surrey Quays Rail Station,NaptanRailStation,51.4932,-0.047512,london-overground
910GSYDENHM,Sydenham Rail Station,NaptanRailStation,51.42725,-0.054238,london-overground
910GTHBLDSG,Theobalds Grove Rail Station,NaptanRailStation,51.692457,-0.034824,london-overground
