stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZLUALD,Aldgate Underground Station,NaptanMetroStation,51.514251,-0.075683,metropolitan,yes,1,"Aldgate Station,London Underground Ltd.,Aldgate High St,London,EC3N 1AH"
940GZZLUAMS,Amersham Underground Station,NaptanMetroStation,51.674127,-0.607708,metropolitan,yes,9,"Amersham Station,Stn Approach,Amersham,Bucks HP6 5AZ"
940GZZLUBBN,Barbican Underground Station,NaptanMetroStation,51.52028,-0.097988,metropolitan,yes,1,"Barbican Station,London Underground Ltd.,Aldersgate St,London,EC1A 4JA"
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522888,-0.157127,metropolitan,yes,1,"Baker Street Station Marylebone Rd,London,NW1"
940GZZLUCAL,Chalfont & Latimer Underground Station,NaptanMetroStation,51.667985,-0.560682,metropolitan,yes,8,"Chalfont & Latimer Station,London Underground Ltd.,Station Approach,Little Chalfont,Amersham,Bucks,HP7 9PR"
940GZZLUCSM,Chesham Underground Station,NaptanMetroStation,51.70521,-0.611241,metropolitan,yes,9,"Chesham Station,London Underground Ltd.,Station Approach,Chesham,Bucks,HP5 1DH"
940GZZLUCXY,Croxley Underground Station,NaptanMetroStation,51.647044,-0.441708,metropolitan,yes,7,"Croxley Station,London Underground Ltd.,Watford Road,Rickmansworth,Herts,WD3 3DY"
940GZZLUCYD,Chorleywood Underground Station,NaptanMetroStation,51.654359,-0.518453,metropolitan,yes,7,"Chorleywood Station,London Underground Ltd.,Station Approach,Chorleywood,Rickmansworth,Herts WD3 5ND"
940GZZLUEAE,Eastcote Underground Station,NaptanMetroStation,51.576504,-0.397376,metropolitan,no,5,"Eastcote Station,London Underground Ltd.,Field End Rd,Ruislip,Middx,HA5 1QZ"
940GZZLUESQ,Euston Square Underground Station,NaptanMetroStation,51.525609,-0.135825,metropolitan,yes,1,"Euston Square Station,London Underground Ltd.,Euston Rd,London,NW1 2BN"
940GZZLUFCN,Farringdon Underground Station,NaptanMetroStation,51.520257,-0.104908,metropolitan,no,1,"Farringdon Station,London Underground Ltd.,Cowcross St,London,EC1M 6BY"
940GZZLUFYR,Finchley Road Underground Station,NaptanMetroStation,51.54683,-0.179842,metropolitan,no,2,"Finchley Road Underground Station,London Underground Ltd.,Finchley Road,London,NW3 6OP"
940GZZLUGPS,Great Portland Street Underground Station,NaptanMetroStation,51.523845,-0.144258,metropolitan,yes,1,"Great Portland Street Station,London Underground Ltd.,Euston Rd,London,NW1"
940GZZLUHGD,Hillingdon Underground Station,NaptanMetroStation,51.553712,-0.449818,metropolitan,yes,6,"Hillingdon Station,London Underground Ltd.,Long Lane,Hillingdon,Uxbridge,Middlesex,UB10 9NR"
940GZZLUHOH,Harrow-on-the-Hill Underground Station,NaptanMetroStation,51.579202,-0.337226,metropolitan,yes,5,"Ickenham Station,London Underground Ltd.,Glebe Avenue,Uxbridge,Middx,UB10 8PD"
940GZZLUICK,Ickenham Underground Station,NaptanMetroStation,51.561989,-0.441991,metropolitan,yes,6,"King's Cross St. Pancras,London Underground Ltd.,Euston Road,London,N1 9AL"
940GZZLUKSX,King's Cross St. Pancras Underground Station,NaptanMetroStation,51.530668,-0.12319,metropolitan,yes,1,"Liverpool Street Underground Station Central,London Underground Ltd.,Liverpool Street,London,EC2M 7PP"
940GZZLULVT,Liverpool Street Underground Station,NaptanMetroStation,51.517377,-0.083176,metropolitan,yes,1,"Moorgate Station,London Underground Ltd.,Moorfields,London,EC2Y 9AE"
940GZZLUMGT,Moorgate Underground Station,NaptanMetroStation,51.51818,-0.088317,metropolitan,no,1,"Moor Park Station,London Underground Ltd.,Sandy Lodge Lane,Rickmansworth,Herts,HA6 2JQ."
940GZZLUMPK,Moor Park Underground Station,NaptanMetroStation,51.629844,-0.432443,metropolitan,yes,6+7,"North Harrow Station,London Underground Ltd.,Station Rd,North Harrow,Middx,HA2 7SR"
940GZZLUNHA,North Harrow Underground Station,NaptanMetroStation,51.58487,-0.36241,metropolitan,yes,5,"Northwick Park Station,London Underground Ltd.,Northwick Avenue,Harrow,Middx,HA3 0AT"
940GZZLUNKP,Northwick Park Underground Station,NaptanMetroStation,51.578488,-0.318057,metropolitan,yes,4,"Northwood Station,London Underground Ltd.,Station Approach,Green Lane,Northwood,Middx,HA6 2XL"
940GZZLUNOW,Northwood Underground Station,NaptanMetroStation,51.611052,-0.423818,metropolitan,yes,6,"Northwood Hills Station,London Underground Ltd.,Joel St,Northwood,Middx,HA6 1NZ"
940GZZLUNWH,Northwood Hills Underground Station,NaptanMetroStation,51.60057,-0.409453,metropolitan,yes,6,"Pinner Station,London Underground Ltd.,Station Approach,Pinner,Middx,HA5 5LZ"
940GZZLUPNR,Pinner Underground Station,NaptanMetroStation,51.5929,-0.381164,metropolitan,yes,5,"Preston Road Station,London Underground Ltd.,Preston Rd,Wembley,Middx,HA3 0PS"
940GZZLUPRD,Preston Road Underground Station,NaptanMetroStation,51.571979,-0.295107,metropolitan,yes,4,"Rickmansworth Station,London Underground Ltd.,Station Approach,Rickmansworth,Herts,WD3 1QY"
940GZZLURKW,Rickmansworth Underground Station,NaptanMetroStation,51.640207,-0.473693,metropolitan,yes,7,"Ruislip Manor Station,London Underground Ltd.,Victoria Rd,Ruislip,Middx,HA4 9AA"
940GZZLURSM,Ruislip Manor Underground Station,NaptanMetroStation,51.5732,-0.412963,metropolitan,yes,6,"Ruislip Station,London Underground Ltd.,Station Approach,Ruislip,Middx,HA4 8LD"
940GZZLURSP,Ruislip Underground Station,NaptanMetroStation,51.571351,-0.421887,metropolitan,yes,6,"Rayners Lane Station,London Underground Ltd.,Alexandra Avenue,Harrow,HA5 5EG,Middx"
940GZZLURYL,Rayners Lane Underground Station,NaptanMetroStation,51.575154,-0.37113,metropolitan,yes,5,"Uxbridge Station,London Underground Ltd.,High St,Uxbridge,Middx,UB8 1JZ"
940GZZLUUXB,Uxbridge Underground Station,NaptanMetroStation,51.546563,-0.47794,metropolitan,yes,6,"Watford Station,London Underground Ltd.,Cassiobury Park Avenue,Watford,Herts,WD18 7LE"
940GZZLUWAF,Watford Underground Station,NaptanMetroStation,51.657446,-0.41738,metropolitan,no,7,"West Harrow Station,London Underground Ltd.,Vaughan Rd,Harrow,Middx,HA1 4HE"
940GZZLUWHW,West Harrow Underground Station,NaptanMetroStation,51.579717,-0.353401,metropolitan,yes,5,"Willesden Green Station,London Underground Ltd.,Walm Lane,London,NW2 4QT"
