stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZLUACY,Archway Underground Station,NaptanMetroStation,51.565484,-0.134815,northern,yes,2+3,"Archway Station,London Underground Ltd.,Junction Rd,London,N19 5RQ"
940GZZLUAGL,Angel Underground Station,NaptanMetroStation,51.532796,-0.105992,northern,yes,1,"Angel Station,London Underground Ltd.,City Rd,London,EC1V 1NE"
940GZZLUBLM,Balham Underground Station,NaptanMetroStation,51.443291,-0.152994,northern,yes,3,"Balham Underground Station,London Underground Ltd.,Balham High Rd,London,SW12 9BW"
940GZZLUBNK,Bank Underground Station,NaptanMetroStation,51.513424,-0.088948,northern,yes,1,"Bank/Monument Complex,London Underground Ltd.,Princes St,London,EC3V 3LA"
940GZZLUBOR,Borough Underground Station,NaptanMetroStation,51.501203,-0.093365,northern,yes,1,"Borough Station,London Underground Ltd.,Borough High St,London,SE1 1JX"
940GZZLUBTK,Burnt Oak Underground Station,NaptanMetroStation,51.602781,-0.264047,northern,yes,4,"Burnt Oak Station,London Underground Ltd.,Watling Avenue,Edgware,Middx,HA8 0LA"
940GZZLUBTX,Brent Cross Underground Station,NaptanMetroStation,51.576656,-0.21362,northern,yes,3,"Brent Cross Station,London Underground Ltd.,Highfield Avenue,London,NW11 9UA"
940GZZLUBZP,Belsize Park Underground Station,NaptanMetroStation,51.550316,-0.164644,northern,yes,2,"Belsize Park Station,London Underground Ltd.,Haverstock Hill,London,NW3 2AL"
940GZZLUCFM,Chalk Farm Underground Station,NaptanMetroStation,51.544124,-0.153384,northern,yes,2,"Chalk Farm Station,London Underground Ltd.,Adelaide Rd,London,NW3 2BP"
940GZZLUCHX,Charing Cross Underground Station,NaptanMetroStation,51.507415,-0.127273,northern,yes,1,"Charing Cross Underground Station,London Underground Ltd.,Trafalgar Square,London,WC2N 5DR"
940GZZLUCND,Colindale Underground Station,NaptanMetroStation,51.595431,-0.249918,northern,yes,4,"Colindale Station,London Underground Ltd.,Colindale Avenue,London,NW9 5HR"
940GZZLUCPC,Clapham Common Underground Station,NaptanMetroStation,51.461745,-0.138314,northern,yes,2,"Clapham Common Station,London Underground Ltd.,The Pavement,London,SW4 7AJ"
940GZZLUCPN,Clapham North Underground Station,NaptanMetroStation,51.465138,-0.130012,northern,yes,2,"Clapham North Station,London Underground Ltd.,Clapham High St,London,SW4 7TS"
940GZZLUCPS,Clapham South Underground Station,NaptanMetroStation,51.452657,-0.147579,northern,yes,2+3,"Clapham South Station,London Underground Ltd.,Balham Hill,London,SW12 9DU"
940GZZLUCSD,Colliers Wood Underground Station,NaptanMetroStation,51.418162,-0.178084,northern,yes,3,"Colliers Wood Station,London Underground Ltd.,Colliers Wood High St,London,SW19 2HR"
940GZZLUCTN,Camden Town Underground Station,NaptanMetroStation,51.539297,-0.142735,northern,yes,2,"Camden Town Station,London Underground Ltd.,Camden High St,London,NW1 8NH"
