stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZCRADD,Addiscombe Tram Stop,NaptanMetroStation,51.379811,-0.073237,tram,yes,3.0,"Wimbledon,London Underground Ltd.,The Broadway,London,SW19 7NL"
940GZZCRADV,Addington Village Tram Stop,NaptanMetroStation,51.356241,-0.032688,tram,,,
940GZZCRAMP,Ampere Way Tram Stop,NaptanMetroStation,51.382223,-0.123855,tram,,,
940GZZCRARA,Arena Tram Stop,NaptanMetroStation,51.391526,-0.058342,tram,,,
940GZZCRAVE,Avenue Road Tram Stop,NaptanMetroStation,51.406801,-0.04947,tram,,,
940GZZCRBED,Beddington Lane Tram Stop,NaptanMetroStation,51.389243,-0.142164,tram,,,
940GZZCRBEK,Beckenham Junction Tram Stop,NaptanMetroStation,51.410732,-0.026395,tram,,,
940GZZCRBGV,Belgrave Walk Tram Stop,NaptanMetroStation,51.401332,-0.177804,tram,,,
940GZZCRBIR,Birkbeck Tram Stop,NaptanMetroStation,51.403768,-0.055781,tram,,,
940GZZCRBLA,Blackhorse Lane Tram Stop,NaptanMetroStation,51.384758,-0.070557,tram,,,
940GZZCRBRD,Beckenham Road Tram Stop,NaptanMetroStation,51.409533,-0.043415,tram,,,
940GZZCRCEN,George Street Tram Stop,NaptanMetroStation,51.373978,-0.098742,tram,,,
940GZZCRCHR,Church Street Tram Stop,NaptanMetroStation,51.373709,-0.104357,tram,,,
940GZZCRCOO,Coombe Lane Tram Stop,NaptanMetroStation,51.359791,-0.059555,tram,,,
940GZZCRCTR,Centrale Tram Stop,NaptanMetroStation,51.37577,-0.103913,tram,,,
940GZZCRDDR,Dundonald Road Tram Stop,NaptanMetroStation,51.417557,-0.207678,tram,,,
940GZZCRECR,East Croydon Tram Stop,NaptanMetroStation,51.374864,-0.092412,tram,,,
940GZZCRELM,Elmers End Tram Stop,NaptanMetroStation,51.398475,-0.049551,tram,,,
940GZZCRFLD,Fieldway Tram Stop,NaptanMetroStation,51.351305,-0.024239,tram,,,
940GZZCRGRA,Gravel Hill Tram Stop,NaptanMetroStation,51.354545,-0.043145,tram,,,
940GZZCRHAR,Harrington Road Tram Stop,NaptanMetroStation,51.399794,-0.060723,tram,,,
940GZZCRKGH,King Henry's Drive Tram Stop,NaptanMetroStation,51.345366,-0.020287,tram,,,
940GZZCRLEB,Lebanon Road Tram Stop,NaptanMetroStation,51.375202,-0.084998,tram,,,
940GZZCRLOY,Lloyd Park Tram Stop,NaptanMetroStation,51.364278,-0.08077,tram,,,
940GZZCRMCH,Mitcham Tram Stop,NaptanMetroStation,51.397492,-0.170898,tram,,,
940GZZCRMDN,Morden Road Tram Stop,NaptanMetroStation,51.408876,-0.192832,tram,,,
940GZZCRMJT,Mitcham Junction Tram Stop,NaptanMetroStation,51.392869,-0.15826,tram,,,
940GZZCRMTP,Merton Park Tram Stop,NaptanMetroStation,51.413591,-0.201218,tram,,,
940GZZCRNWA,New Addington Tram Stop,NaptanMetroStation,51.342592,-0.017406,tram,,,
940GZZCRPHI,Phipps Bridge Tram Stop,NaptanMetroStation,51.40338,-0.182309,tram,,,
940GZZCRRVC,Reeves Corner Tram Stop,NaptanMetroStation,51.37528,-0.106404,tram,,,
940GZZCRSAN,Sandilands Tram Stop,NaptanMetroStation,51.375025,-0.078036,tram,,,
940GZZCRTPA,Therapia Lane Tram Stop,NaptanMetroStation,51.385698,-0.129042,tram,,,
940GZZCRWAD,Waddon Marsh Tram Stop,NaptanMetroStation,51.377077,-0.118013,tram,,,
940GZZCRWAN,Wandle Park Tram Stop,NaptanMetroStation,51.373403,-0.113278,tram,,,
940GZZCRWCR,West Croydon Tram Stop,NaptanMetroStation,51.378972,-0.101697,tram,,,
940GZZCRWEL,Wellesley Road Tram Stop,NaptanMetroStation,51.37537,-0.097549,tram,,,
940GZZCRWMB,Wimbledon Tram Stop,NaptanMetroStation,51.421053,-0.205815,tram,,,
940GZZCRWOD,Woodside Tram Stop,NaptanMetroStation,51.3871,-0.065356,tram,,,
